stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,5,49,1,1,0,1,2,4,5,1,9,13,0,1,0,0
 24-34,0,1.64,4.1,0,0,13.95,0,0.82,0.82,1.64,0.82,0,0,1.64,0,0,0.82,9.85,0,0,3.28,130.52,0,2.46,0.82,0,2.46,0,0,0.82,4.1,39.4,0,0,0,0
 36-46,0,0,0.81,0,0,33.84,0,0,0,5.64,0.81,0.81,0,0,0,0,0,10.47,0.81,0.81,0.81,153.88,0,3.22,0,0,0.81,0,0,0,0,37.06,0,0,0,0
 48-58,0,0,0,0,0,49.92,0,0.57,2.87,7.46,0,0,0,1.72,0,0,0.57,8.03,0,0.57,4.59,85.5,0.57,1.15,0.57,0,1.15,0,0,0,0,25.25,0,1.15,0,0
 60-70,0.98,0,0.98,0,0,89.32,0,0,0,18.65,0,0.98,0,0,0,0,0,19.63,0,0,1.96,135.45,1.96,0,0,0,1.96,0,0,0,0,11.78,0,0,0,0
 72-82,1.96,0,0.98,0,0,29.45,0,0,0.98,6.87,0.98,0,0,0,0,0,0,10.8,1.96,0,0.98,48.1,0.98,1.96,0,0,0.98,0,0,0,0,3.93,0,1.96,0.98,0.98
 84-94,0,0,3.19,0,0,18.05,0,1.06,0,4.25,1.06,0,0,0,0,0,1.06,8.5,0,1.06,1.06,31.86,0,0,0,0,5.31,0,0,1.06,0,1.06,0,1.06,0,0
 96-106,0,0,1.09,1.09,0,18.58,1.09,0,1.09,3.28,1.09,0,1.09,0,0,1.09,0,6.56,3.28,1.09,0,30.6,0,0,0,0,4.37,0,0,0,0,2.19,0,2.19,1.09,0
108-118,0,0,2.3,0,1.53,8.43,0,0.77,0,3.83,0.77,0,0.77,0,0.77,1.53,0,4.6,0,0,2.3,17.62,0.77,0.77,0.77,0,0.77,0,0,1.53,0,0,0.77,0,0,0
120,0,0,1.96,5.88,0,19.6,0,1.96,0,5.88,1.96,0,1.96,0,0,0,0,7.84,0,0,1.96,27.44,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
