stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.6,2635.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,551.67,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,5.26,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.04,0,0,0,36.8,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,22.03,0,0,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,761.57,37.76,0,0,119.58,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,10,96,7,0,66,0,0,0,26,5,0,0,0,1,0,0,1,0,141,0,0,168,933,153,0,2,10,0,4,2,20,8,6,40,280,0,0,0,0,0
 24-34,0.82,0,5.75,24.63,3.28,0,77.98,0,4.93,27.09,27.91,0.82,0,2.46,0,1.64,0.82,0,4.1,0,552.44,0,0,450.65,953.01,107.53,0.82,4.1,0,0,9.03,0,2.46,4.1,0.82,30.37,232.3,0,0,8.21,0,0
 36-46,0,0,0.81,3.22,0.81,0,46.73,0.81,2.42,71.7,48.34,0.81,0,5.64,0.81,0,0.81,0,0.81,0,741.22,0,0.81,327.91,460.04,106.35,0,2.42,0,0.81,10.47,0,0.81,2.42,0,0,148.24,0,0.81,1.61,0,1.61
 48-58,0.57,0,0,6.31,0.57,0,47.63,0,5.74,91.81,93.53,0,0,4.02,0,0,2.3,0,0,0,942.19,0,3.44,223.21,231.82,78.04,1.15,3.44,0.57,0,12.62,0,0,1.72,0,0,97.55,0,1.72,2.3,1.15,0.57
 60-70,0,0,0,9.82,0,0,53.98,0,4.91,95.21,207.1,0.98,0,5.89,0,0.98,1.96,0.98,0,0,1153.29,0,14.72,126.62,205.14,47.11,0,4.91,0,3.93,10.8,0,0,0,0,0,49.08,0,3.93,3.93,2.94,0
 72-82,0,0,0.98,15.71,2.94,0,152.16,0.98,4.91,134.49,460.4,3.93,0,9.82,1.96,0.98,9.82,0.98,0.98,0,1918.17,0,23.56,153.14,317.08,47.12,1.96,17.67,0,13.74,12.76,0,0,1.96,0.98,0,56.94,0,28.47,13.74,24.54,0.98
 84-94,1.06,0,0,24.43,2.12,1.06,174.17,1.06,3.19,96.65,297.37,3.19,0,7.43,1.06,1.06,4.25,1.06,1.06,0,1315.86,0,30.8,113.64,216.66,45.67,0,18.05,0,11.68,48.85,0,0,4.25,0,0,54.16,2.12,20.18,3.19,22.3,0
 96-106,0,0,0,33.88,1.09,0,170.48,3.28,3.28,65.57,431.67,4.37,0,12.02,4.37,2.19,3.28,1.09,3.28,1.09,1295.02,0,27.32,72.13,230.59,44.81,2.19,17.49,0,15.3,22.95,0,0,5.46,0,0,53.55,0,17.49,5.46,28.41,2.19
108-118,0.77,0,0,14.55,2.3,13.02,105.7,2.3,0.77,64.34,355.41,7.66,0,6.13,2.3,0,9.96,0.77,2.3,0.77,1053.2,0.77,22.98,72,266.56,40.6,1.53,22.98,0,9.19,15.32,0,0,4.6,0,0,46.72,0,11.49,5.36,16.85,0
120,1.96,0,0,19.6,1.96,3.92,84.27,5.88,3.92,56.83,264.57,3.92,0,11.76,3.92,0,1.96,1.96,0,0,756.48,0,25.48,62.71,313.57,58.79,0,7.84,0,7.84,9.8,0,0,0,0,0,33.32,1.96,3.92,1.96,15.68,0
