stage,endocrine.pancreas,epidermis,eye,glial,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,somites,spinal.cord,vasculature
 14-21,0,0,0,2,0,1,0,2,1,0,0,1,4,0
 24-34,0,0.82,0,1.64,0,0.82,0.82,3.28,0,0.82,0,0,3.28,0
 36-46,0,0,3.22,0,0,0.81,0,4.03,0,2.42,0,0,0,0.81
 48-58,0,0,1.72,1.15,0,0.57,0,1.15,0,0,0,0,0.57,0.57
 60-70,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,0.98,0,0,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,0,0,2.19,0,0,0
108-118,0,1.53,0.77,0,0.77,0.77,0,0.77,0,0,2.3,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
