stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,12.26,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,57.83,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,3.15,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,0,1,0,0,26,8,0,0,0,0,0,0,1,6,0,0,1,34,17,4,9,3,0,1,4,20,2,68,0,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0.82,36.12,0,0,0,0,0,0,0,0,1.64,0,0,0,20.52,4.1,24.63,1.64,0,0,0,0,9.03,0.82,64.85,0,0,0,0
 36-46,0,0,0,0.81,0,10.47,0,0.81,16.92,0,0,0.81,0,0,0,0,0,0.81,0,0,0,33.03,0.81,19.34,1.61,0,0,0,0,3.22,0,49.95,0,0.81,0,0
 48-58,0,0,0,0,0,9.18,0,0.57,23.53,0,0,0,0,0,0.57,0,0,1.72,0,0,0,21.23,0,14.35,1.15,0,0,0,0,2.3,0,48.2,0,0,0,0
 60-70,0,0,0,0,0,5.89,0.98,1.96,11.78,0,0,0,0,0,0,1.96,0,0.98,0.98,1.96,0,19.63,0,24.54,3.93,0,0,0,0,0.98,0,14.72,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,21.6,0,0,0,0.98,0,0,0,0,3.93,0,0.98,0,25.52,0,30.43,4.91,0,0,0,0,0.98,0,9.82,0.98,0,0,0
 84-94,0,0,0,0,1.06,7.43,0,0,5.31,0,0,2.12,0,0,1.06,2.12,0,0,0,0,0,7.43,0,25.49,6.37,0,0,0,0,2.12,0,4.25,0,0,1.06,0
 96-106,0,0,0,0,0,6.56,0,0,10.93,0,0,1.09,1.09,0,0,8.74,0,1.09,0,1.09,0,7.65,0,41.53,10.93,0,0,0,0,0,0,5.46,0,0,0,0
108-118,0,0,0,1.53,0,2.3,0,0,5.36,0.77,0,0,0,0.77,0,3.83,0,4.6,0,0,0,13.02,0,31.4,5.36,0,0.77,0,0,0.77,0,3.06,0,0,0,0
120,0,0,0,0,0,0,0,0,5.88,0,0,0,0,1.96,0,3.92,0,1.96,0,0,0,9.8,0,13.72,13.72,0,0,0,0,0,0,1.96,0,0,0,1.96
