stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,heart,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0
 14-21,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0
 24-34,0.82,0,3.28,0,0,0.82,0,0.82,0,2.46,0.82,6.57,0,0,0,0,2.46,0,0,1.64
 36-46,0,0,1.61,0,0.81,0,0,0,0,1.61,0,8.86,0,0.81,0,0,1.61,0,0.81,0
 48-58,0,0,1.72,0,0.57,0,0,0,0.57,0.57,0.57,8.03,0,0,0,0,1.15,0,0,1.72
 60-70,0,0,7.85,0,0,0,0,0,0,0.98,0,6.87,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,0,0,0,0,4.91,0,4.91,0,0.98,0.98,0,0.98,0,0.98,0
 84-94,0,0,1.06,0,1.06,0,0,0,0,2.12,0,0,1.06,0,0,0,2.12,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,0,1.09,0,0,3.28,0,1.09,0,0,2.19,1.09,0,0
108-118,0,0,1.53,0,0,0,0,0,0,0.77,0.77,0.77,0,0,0,0,1.53,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
