stage,axial,blastomeres,erythrocytes,eye,fin.epithelia,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,1.64,0,12.31,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,3.22,0,9.67,0,2.42,0
 48-58,0,0,0,1.15,0,0,0,0,0,4.02,0,0.57,0,3.44,0,12.62,0.57,1.15,0
 60-70,0,0,0,1.96,0,0,0,0,0,13.74,0,0.98,0,9.82,0,26.5,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0,26.5,0,1.96,0,4.91,0,54.97,0,0,2.94
 84-94,0,0,0,3.19,0,1.06,1.06,0,0,50.98,0,0,0,3.19,0,82.84,0,0,0
 96-106,0,0,1.09,6.56,2.19,0,0,0,0,76.5,0,0,0,3.28,0,95.08,1.09,0,0
108-118,0,0,0,1.53,0,0.77,0.77,0.77,0,51.32,0.77,2.3,0.77,4.6,0,67.4,0,0,0
120,0,0,0,0,0,0,0,0,0,41.16,0,0,0,9.8,0,90.15,0,0,0
