stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,3.15,0,0,3.15,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,0,0,0,0,1,0,0,0,3,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0.82,0,0,0,0,0,0,0.82,0,0,26.27,0,0,0.82,0,0,0.82,0,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,26.59,0,0,0,0,0,0.81,0,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,3.44,0,1.15,0,1.72,0,0,0,0,1.15,0,0,56.81,0,0,0,0,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0.98,18.65,0.98,3.93,0,0.98,0,0,0,0,5.89,0,0,193.36,0,0,0.98,0,0,0.98,0,0.98,0,2.94,0,0,0
 72-82,0,0,0,0,1.96,41.23,0,9.82,0.98,0,0,0,0,0,9.82,0.98,0,249.34,0,0.98,0,0,0,0,0,0,0,4.91,0,1.96,1.96
 84-94,0,0,0,2.12,2.12,32.92,1.06,6.37,1.06,2.12,0,0,0,0,5.31,0,0,149.75,0,0,1.06,0,0,0,0,0,0,3.19,0,0,1.06
 96-106,0,0,0,0,3.28,30.6,0,6.56,1.09,0,2.19,1.09,1.09,1.09,3.28,0,0,113.66,0,0,0,0,0,2.19,0,0,0,3.28,0,0,1.09
108-118,0,0,0.77,0.77,0,26.04,0,3.06,1.53,0,0,0,0,0,5.36,0.77,0.77,144.77,0,0,0,0,0,0.77,0,0,0,0.77,0.77,0,0
120,0,0,0,0,0,37.24,0,3.92,0,0,1.96,0,0,0,5.88,0,0,205.78,0,0,0,0,1.96,0,0,0,0,0,0,0,0
