stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,9.44,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,1,4,2,0,0,0,0,2,0,0,0,79,0,49,29,0,0,0,0,0,4,0,1,0,0,0,0
 24-34,0,0.82,0,0.82,0.82,0,0,0,0,4.93,0,0.82,0,68.13,0.82,36.94,27.91,0.82,0,0,0,0,0.82,4.93,0,0.82,0,0,0.82
 36-46,0,0,0.81,1.61,8.06,0,0,0.81,0,8.86,0,0,0,45.12,2.42,18.53,12.09,0,0,0,0.81,0,0,0.81,0,0.81,0,0,0
 48-58,0,0,1.15,0,7.46,0,0,0.57,0,6.89,0,0,0,71.15,5.16,17.21,14.92,0,0,0,1.15,0,0,0.57,0,11.48,0.57,0.57,0
 60-70,0,0,0.98,0,10.8,0,0,0,0,7.85,0.98,0,0,77.54,12.76,17.67,21.59,0,0,0,1.96,0.98,0,0,0,24.54,0.98,0.98,0
 72-82,0,0,2.94,0,7.85,0,0,0.98,0,9.82,0.98,0,0.98,107.98,33.38,22.58,26.5,0,0.98,0,2.94,0,0,0,0,8.83,0.98,8.83,0
 84-94,0,0,2.12,0,8.5,0,1.06,2.12,0,8.5,0,0,0,74.34,22.3,12.74,11.68,0,1.06,0,2.12,0,0,2.12,0,9.56,0,5.31,0
 96-106,0,0,1.09,0,5.46,0,0,2.19,0,13.11,0,0,0,66.66,21.86,16.39,9.84,0,0,0,5.46,0,0,3.28,0,4.37,1.09,2.19,0
108-118,0,0,3.83,0,3.06,0.77,1.53,0.77,0,4.6,0,0,0.77,67.4,21.45,9.96,7.66,0,0,0,1.53,0,0,2.3,0,0,2.3,6.13,0
120,0,0,1.96,0,5.88,0,0,0,0,11.76,0,0,0,101.91,27.44,7.84,13.72,0,0,0,5.88,0,0,0,0,1.96,0,3.92,0
