stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,3,0,1,11,0,0,0,0,0,1,0,0,0,23,0,3,0,0,1,3,10,40,0,0,0
 24-34,0,0.82,0.82,0,6.57,5.75,0,0,0.82,0,0,4.93,0,0,0,75.52,0,8.21,0,0,0,0,3.28,41.86,0.82,0,0.82
 36-46,0,0,0,0,10.47,6.45,0,0,0,0,0.81,0.81,0,0.81,0.81,71.7,0,8.86,0,0,0,0,3.22,17.72,0,0,0.81
 48-58,0,0,0,0,20.08,13.77,0,0,0,0,0,5.16,0,0,0.57,46.48,0,5.16,0,0,0,0,1.15,21.8,0,0,2.3
 60-70,0,0,0,0,17.67,9.82,0.98,0,0,0,0,1.96,0,0,0.98,33.37,0,7.85,0.98,0,0,0,0,7.85,0,0,2.94
 72-82,0,0.98,0.98,0,7.85,21.6,0,0.98,0,0,0,4.91,0,0.98,0.98,34.36,0,10.8,0.98,0,0,0,0,3.93,0.98,0,0.98
 84-94,0,1.06,0,0,1.06,8.5,0,0,0,0,0,3.19,1.06,0,0,14.87,0,1.06,1.06,0,1.06,0,0,10.62,0,1.06,3.19
 96-106,0,0,1.09,0,8.74,8.74,0,0,0,1.09,0,2.19,0,1.09,0,26.23,1.09,9.84,1.09,0,0,0,1.09,3.28,0,0,4.37
108-118,0,1.53,0,0.77,3.06,4.6,0.77,1.53,0,0,0,2.3,0,0,0,16.85,0,6.13,0.77,0,0,0,2.3,3.83,0,0,0
120,0,0,1.96,0,1.96,3.92,0,0,0,0,0,3.92,0,0,0,15.68,1.96,0,0,0,0,0,0,1.96,1.96,0,0
