stage,axial,epidermis,eye,fin.epithelia,glial,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,spinal.cord
  7-9,2.63,0,2.63,0,0,0,0,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81
 48-58,0,0.57,0,0,0.57,0,0.57,0,0.57,0,0,0.57,0
 60-70,0,0,1.96,0,0,0,0.98,0,2.94,0,0,0.98,0
 72-82,0,0,0.98,0,1.96,0,1.96,0,6.87,0,0,0,0
 84-94,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,3.28,0,0,0,0,1.09,0,1.09,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0,0,1.53,0,0.77,0,0
120,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0
