stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,10,2,6,0,0,0,16,0,2,0,0,0,0,0,7,0,3,57,2,2,1,1,0,0,6,7,0,8,63,0,0,0,0
 24-34,0,0.82,4.1,0,13.95,0,0,0.82,12.31,0.82,0,0,0,0,0,0,12.31,0,5.75,114.1,0,4.1,3.28,0,0,2.46,0,3.28,0,4.1,36.94,0,1.64,0,0
 36-46,0,0,1.61,0,12.09,0,0,0,7.25,0.81,0,0,0,0,0,0,13.7,0,0,78.15,0,4.03,0,0,0,2.42,0,2.42,0,0,19.34,0,0,0,0
 48-58,0,0,0,0,24.67,0,0,0,8.61,0,0,0,0,0.57,0.57,0,13.77,0.57,4.02,64.84,0.57,3.44,2.3,0,0,0.57,0,1.15,0,0,17.79,0,1.15,0,0
 60-70,0,0,0,0,23.56,0,0,0.98,7.85,0,0,0,0,0,1.96,0.98,15.7,1.96,3.93,54.97,0.98,2.94,1.96,0,0,0,0,0,0,0,9.82,0,0,0,0.98
 72-82,0,0,4.91,0.98,29.45,0,0.98,0,9.82,0.98,0,0.98,0,0,2.94,0,33.38,1.96,2.94,45.16,0,7.85,6.87,0,0,0,0,0,0.98,0,5.89,0.98,0.98,0.98,0
 84-94,0,0,4.25,0,28.68,0,0,2.12,5.31,0,0,0,1.06,1.06,0,0,21.24,0,1.06,39.3,0,9.56,5.31,0,0,1.06,0,4.25,0,0,2.12,2.12,3.19,1.06,0
 96-106,0,0,0,0,16.39,2.19,0,1.09,2.19,3.28,0,1.09,0,0,2.19,0,12.02,2.19,1.09,22.95,1.09,3.28,3.28,0,0,0,0,2.19,0,0,3.28,0,0,1.09,0
108-118,0.77,0,3.83,0,9.96,0,0,2.3,6.89,0,0,1.53,0,1.53,1.53,0,9.96,0,2.3,28.34,0,1.53,6.89,0,1.53,1.53,0,0.77,0,0,3.83,0,1.53,0,0
120,1.96,0,5.88,0,7.84,0,0,0,13.72,0,0,0,0,0,0,0,11.76,0,5.88,11.76,0,5.88,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0
