stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,3,1,4,0,0,0,1,0,1,0,0,0,0,0,0,2,9,0,0,3,62,1,0,5,0,2,1,1,28,0,0,0
 24-34,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0.82,0,0,2.46,5.75,0,0,0.82,58.28,0,0,20.52,1.64,0,4.93,0.82,15.6,0.82,0,0.82
 36-46,0,0,0,0,4.03,0,0.81,0,0.81,0.81,0,0,0.81,0,0,0,0,1.61,8.06,0,0,0,41.89,0,0.81,8.06,0,0,3.22,0,4.83,0.81,0,2.42
 48-58,0,0,0.57,0,11.48,0,0,0,11.48,0,0,0.57,0,0,0.57,0.57,0.57,0.57,11.48,0,0,0.57,37.87,0.57,0.57,19.51,0,0,4.02,0,7.46,0,0,3.44
 60-70,0,0,0.98,0,9.82,0,0.98,0,43.19,0,0,0,0.98,0,0,0,0.98,0,10.8,0.98,0,0,41.22,0,0,15.7,0.98,0,5.89,0,5.89,0,0,3.93
 72-82,0,0,1.96,0,24.54,0,0,0,137.43,1.96,0,0,0,0,0,6.87,2.94,0,43.19,0,0,0.98,83.44,0,0,44.17,1.96,0,5.89,0,2.94,0,0,2.94
 84-94,0,0,1.06,0,15.93,0,0,1.06,83.9,1.06,0,0,0,0,0,5.31,4.25,0,11.68,0,2.12,0,43.54,0,1.06,55.23,3.19,0,9.56,0,0,2.12,0,1.06
 96-106,1.09,0,4.37,1.09,13.11,0,0,0,128.96,1.09,0,0,1.09,0,0,10.93,7.65,2.19,8.74,1.09,1.09,0,38.25,0,2.19,76.5,4.37,0,9.84,0,2.19,2.19,1.09,2.19
108-118,0,0.77,2.3,0.77,9.19,0,0.77,0,114.13,2.3,0,0,0,0.77,0,8.43,4.6,2.3,15.32,0,0,0.77,31.4,0,0.77,52.85,3.83,0,5.36,0,0,1.53,0,1.53
120,0,0,0,0,3.92,1.96,0,0,101.91,0,0,0,0,0,0,9.8,1.96,0,7.84,0,0,0,37.24,0,1.96,39.2,5.88,0,0,0,1.96,0,0,3.92
