stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,4.83,0,9.67,0,0
 48-58,0,0,0,0,0,0,1.72,0,0.57,0.57,0,1.72,0,0,0,0,1.15,0,0.57,1.15,0,0,0,0.57,0,22.38,0,0
 60-70,0,0,0,0,0,0,2.94,0.98,1.96,0,0,0,0,0,0,0,2.94,0,0.98,1.96,0,0,0,0.98,0,41.22,0,0
 72-82,0,0,0,0,0.98,0,7.85,0,1.96,0,0,0,0,0,0,0,2.94,0,0.98,4.91,0,0,0,0,0,89.33,2.94,0
 84-94,0,0,0,0,0,0,12.74,0,0,0,1.06,0,0,1.06,2.12,0,6.37,0,0,1.06,0,0,0,2.12,1.06,101.96,1.06,0
 96-106,0,0,0,1.09,0,0,12.02,0,1.09,1.09,0,0,1.09,0,0,0,5.46,0,0,2.19,0,0,0,2.19,0,137.7,2.19,1.09
108-118,0.77,0,0.77,0,0.77,0,19.15,1.53,0,0.77,0,0,0.77,0,0,0,3.83,0.77,0,3.06,0.77,0.77,0.77,1.53,0,95.75,2.3,0
120,0,0,0,0,1.96,0,7.84,0,0,0,0,0,0,1.96,0,1.96,0,0,0,1.96,0,0,0,0,0,92.11,0,0
