stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,167,0,0,0,1,0,0,1,0,0,49,0,0,0,0,0
 24-34,0,0,0,0,0,17.24,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,137.08,0,0.82,0,0,0,1.64,0,0.82,0,32.01,0,0,0,0,0
 36-46,0,0,0,1.61,0,203.83,0,0,0,6.45,0,0,0,0,0,0.81,0,1.61,0,0.81,188.53,0,2.42,0,0,0,0,0,0,0,20.95,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,512.98,0,0,0,9.18,0,0,0.57,0.57,0.57,0,0,2.3,0,0.57,276,0,1.15,0,0,0.57,0.57,0,0,0,25.25,0,0,0,0,0
 60-70,0,0,0,1.96,0,1186.66,1.96,0,0.98,20.61,0.98,0,0,0,0,0,0,1.96,0,0,441.68,0,0.98,0.98,0,0,0,0,0.98,0.98,44.17,0,0,0.98,0,0
 72-82,0,0,0.98,7.85,0.98,922.76,1.96,0,0,25.52,0.98,0,0,1.96,0,0,0.98,11.78,0,0,472.18,0.98,3.93,0,0,0,1.96,0,0,0,33.38,6.87,0,0.98,0.98,0.98
 84-94,0,0,1.06,10.62,2.12,619.17,0,0,0,36.11,2.12,0,1.06,1.06,0,0,0,15.93,1.06,1.06,316.49,0,1.06,0,0,0,1.06,0,0,0,22.3,10.62,1.06,3.19,1.06,0
 96-106,0,0,1.09,7.65,1.09,407.63,0,1.09,0,20.76,2.19,2.19,0,0,2.19,1.09,0,6.56,0,0,234.96,0,2.19,0,0,0,0,0,0,0,7.65,4.37,0,0,3.28,0
108-118,0,0,0,3.83,0,328.6,0,0,0,12.26,0,0,0,0,0,0.77,0,5.36,0.77,0,255.07,0,2.3,0.77,0,0,0.77,0,0,0,3.83,4.6,0,0,0.77,0
120,0,0,1.96,1.96,1.96,194.02,0,0,0,13.72,3.92,0,0,0,0,0,0,5.88,0,0,184.22,0,1.96,0,0,0,0,0,0,0,5.88,3.92,0,0,0,0
