stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,2.63,0,0,2.63,0,31.54,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,173.08,9.44,0,0,15.73,0,12.59,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,4,54,0,0,4,0,1,0,3,3,4,0,0,11,0,0,0,0,5,0,0,2,48,6,3,3,1,0,125,1,2,4,0,37,0,0,0,0,1
 24-34,0,0,3.28,1.64,34.48,0,0,18.06,0,10.67,0,2.46,0.82,1.64,0,1.64,45.15,0,9.03,0,0,7.39,10.67,0,2.46,112.46,3.28,15.6,5.75,0,0,352.15,0,0,7.39,0,44.33,0,0,0.82,0,0
 36-46,0,0,2.42,0,12.09,0,0,33.03,0,8.86,0,3.22,0.81,0.81,1.61,3.22,14.5,0,6.45,0,6.45,5.64,9.67,0.81,4.03,231.23,10.47,22.56,8.06,0,0.81,323.88,0,0,4.83,0,57.2,0,0,0.81,0,1.61
 48-58,0,0,0.57,0,8.61,0,0,69.43,0,10.9,0,16.07,0.57,4.59,1.15,2.3,10.9,0.57,10.9,0.57,2.3,17.21,9.18,0,2.3,198.54,4.02,17.21,3.44,0.57,0,246.16,0,0,1.15,0.57,52.22,0,0.57,4.02,0,1.72
 60-70,0,0,1.96,0,27.48,0.98,0,152.14,0.98,15.7,0,34.35,2.94,1.96,3.93,5.89,12.76,0,16.69,1.96,2.94,28.46,7.85,3.93,3.93,307.22,4.91,28.46,4.91,0,0,196.3,0,0,3.93,1.96,42.21,4.91,0,3.93,0,1.96
 72-82,0,0,9.82,0.98,29.45,2.94,0,123.69,0.98,13.74,0.98,43.19,15.71,0.98,3.93,11.78,18.65,0,13.74,1.96,2.94,43.19,10.8,2.94,1.96,192.41,0.98,23.56,16.69,0,1.96,204.19,0,0,2.94,0,20.61,15.71,2.94,3.93,1.96,1.96
 84-94,0,0,11.68,0,69.03,2.12,0,94.52,0,26.55,1.06,21.24,31.86,1.06,1.06,11.68,36.11,1.06,14.87,2.12,6.37,28.68,10.62,3.19,3.19,125.32,5.31,19.12,13.81,0,1.06,495.97,0,0,5.31,1.06,6.37,37.17,1.06,1.06,1.06,2.12
 96-106,0,0,5.46,0,90.71,3.28,0,89.61,0,21.86,0,28.41,50.27,0,3.28,26.23,42.62,0,28.41,3.28,6.56,30.6,13.11,1.09,1.09,101.63,3.28,38.25,22.95,0,0,403.26,0,0,2.19,3.28,10.93,44.81,0,8.74,2.19,2.19
108-118,0,0,3.06,0.77,85.79,0.77,3.06,75.83,0,27.57,3.06,23.74,38.3,0,0.77,7.66,31.4,3.06,16.85,1.53,2.3,26.04,13.79,3.83,0.77,108,6.13,34.47,14.55,0,0,314.81,0,0,2.3,1.53,3.83,57.45,1.53,6.89,1.53,1.53
120,0,0,0,0,56.83,1.96,1.96,37.24,0,19.6,0,7.84,54.87,0,0,7.84,11.76,0,9.8,1.96,0,21.56,9.8,0,1.96,109.75,1.96,21.56,7.84,0,0,195.98,0,0,5.88,0,5.88,19.6,0,1.96,3.92,0
