stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,0,0,6,92,15,0,15,0,0,0,6,4,2,0,0,5,0,0,0,0,19,0,0,14,152,3,2,6,10,10,47,2,1,65,59,0,0,0,0,0
 24-34,0,0,0,1.64,17.24,1.64,0,18.88,0,1.64,0,4.1,0,0,0.82,0,2.46,0,0.82,1.64,0,17.24,0,0,4.93,110.82,1.64,8.21,4.93,0,20.52,0,0,0,4.93,22.98,0,0,4.93,0,0
 36-46,0,0,0,0,9.67,1.61,0,30.62,0,1.61,1.61,5.64,3.22,0,0,0,0.81,0,0,0.81,0,20.14,0,1.61,4.03,103.93,0,2.42,2.42,0,10.47,0,0,0,0,20.95,0,0,4.03,0,0
 48-58,0,0,0,0.57,5.74,0,0,16.07,0.57,1.15,0.57,3.44,0.57,0,1.15,0,0.57,0.57,0.57,0.57,0.57,10.33,0,0.57,0,41.31,0,1.15,4.59,0,11.48,0,0,0,0,4.59,0,0,1.15,0,0
 60-70,0,0,0,0,6.87,0,0,33.37,0,0.98,1.96,12.76,2.94,0,0,0.98,0.98,1.96,0,0,0,10.8,0,0.98,0.98,35.33,0,3.93,3.93,0,12.76,0,0,0,0,5.89,1.96,0.98,1.96,0,0.98
 72-82,0,0,1.96,0,18.65,0.98,1.96,20.61,0.98,0,1.96,14.72,2.94,0,0,0.98,0.98,0,0.98,1.96,0.98,19.63,0.98,0,2.94,33.38,0.98,6.87,5.89,0,19.63,0,0,0,0,0,2.94,0,5.89,0.98,1.96
 84-94,0,0,0,1.06,16.99,1.06,1.06,11.68,1.06,2.12,0,6.37,3.19,0,0,2.12,7.43,2.12,0,0,0,13.81,0,3.19,1.06,16.99,0,4.25,5.31,0,43.54,0,0,0,0,2.12,1.06,0,2.12,0,0
 96-106,0,0,1.09,0,20.76,4.37,0,7.65,0,4.37,0,3.28,4.37,0,0,1.09,3.28,1.09,4.37,0,0,14.21,3.28,0,0,26.23,0,4.37,5.46,0,45.9,0,0,1.09,0,0,2.19,0,3.28,0,0
108-118,0,0,0,0,19.92,0,0.77,12.26,0,0.77,0,10.72,3.06,0,0,2.3,1.53,0.77,5.36,0.77,0.77,10.72,1.53,0.77,2.3,22.98,2.3,6.89,3.83,0,36.77,0,0,0,0,0.77,0.77,0,1.53,0,0
120,0,0,0,0,43.12,0,1.96,7.84,0,5.88,0,3.92,7.84,0,0,1.96,1.96,0,3.92,0,0,5.88,0,0,0,5.88,0,5.88,1.96,0,27.44,0,0,0,0,0,0,0,0,0,0
