stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.73,0.82,0,0,24.63,0,0,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,77.34,0,0,0.81,31.42,0,0.81,0,0
 48-58,0,0.57,0,7.46,0.57,0,0,2.3,0,0,0,0,0,0,0,0.57,0,0,0,120.5,0.57,0,0,35,0,0,0,0
 60-70,0,0,0,39.26,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,224.77,2.94,0,0,50.06,0,0.98,0,0.98
 72-82,0,0,1.96,72.64,0,0,0,5.89,0,0,0,0,0,0,0,4.91,0,0,0,215.97,0.98,0.98,0,25.52,0,0,0,0
 84-94,0,2.12,0,62.66,0,0,1.06,1.06,0,1.06,0,0,0,1.06,0,4.25,0,1.06,0,107.27,0,1.06,0,14.87,1.06,0,0,0
 96-106,0,1.09,0,54.64,0,1.09,0,7.65,1.09,0,1.09,1.09,0,0,1.09,3.28,0,0,0,134.42,0,1.09,1.09,13.11,0,0,0,0
108-118,0.77,0.77,0,57.45,0,0,0,8.43,1.53,0,3.06,0,0.77,0,0,1.53,0.77,0,0,128.68,0,0,1.53,6.89,0,0,0.77,0
120,0,1.96,1.96,37.24,0,3.92,0,5.88,1.96,0,1.96,0,0,0,0,1.96,0,0,0,170.5,0,0,0,17.64,0,1.96,0,0
