stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,116.44,0,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,230,1,0,0,0,0,0,3,0,0,2,0,3,1,0,4,6,5,0,1,5,0,26,1,0,6,3,0,0,0,0
 24-34,0,0,0,48.43,0,0.82,3.28,0,0,0,1.64,0,0,6.57,0.82,40.22,0,0,4.93,4.93,0.82,1.64,0,0,0,1.64,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,23.36,0,0.81,1.61,2.42,0,0,0,0,0,0,0,78.96,0,0,3.22,4.03,0,0.81,0,0,0,2.42,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,8.61,0,0.57,1.15,2.3,0.57,0,1.72,0,0.57,3.44,0,113.61,0,0,7.46,5.74,0.57,0,0,0,0,0,0,0,0,1.15,0,0,0.57,0
 60-70,0,0,0,11.78,0,1.96,0.98,2.94,0,0,0,0,0.98,2.94,0,168.82,0,0,0.98,2.94,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,0,19.63,0,11.78,1.96,2.94,0,0,0,0,0,2.94,0,265.05,0.98,0,9.82,7.85,0,0,0,0,0.98,0,0,0,0,0,0.98,1.96,0,3.93
 84-94,0,0,0,19.12,0,10.62,1.06,5.31,3.19,0,1.06,0,0,3.19,0,160.37,0,0,10.62,4.25,0,2.12,0,0,0,1.06,0,0,0,0,1.06,0,0,6.37
 96-106,0,0,0,18.58,0,15.3,0,3.28,0,2.19,0,0,2.19,4.37,0,195.62,0,0,7.65,13.11,1.09,0,0,0,1.09,1.09,0,0,0,0,0,1.09,0,8.74
108-118,0,0,0,26.81,0,9.96,0.77,2.3,1.53,1.53,0,0.77,0.77,2.3,0,192.26,0,0.77,3.83,13.02,1.53,0,0,0,1.53,0.77,0,0.77,0,0.77,2.3,0.77,0,4.6
120,0,0,0,29.4,0,7.84,0,3.92,0,0,0,0,0,0,0,146.98,0,0,19.6,11.76,3.92,0,0,0,0,0,0,0,0,0,0,5.88,0,7.84
