stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,110,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,80,0,0
 24-34,0,0,17.24,2.46,0,0,0,0,0,7.39,0.82,0,0,0,0,1.64,0,0,1.64,64.85,0.82,0.82,0,0.82,0,0,1.64,20.52,0,0,234.76,0,0
 36-46,0,0,0,3.22,0.81,0,0,0,0,7.25,0,0,0,0,0,0.81,0,0,0,228.81,0,0,0,0.81,0,0,0,44.31,0,0,146.63,0,0
 48-58,0,0.57,0,15.49,1.15,0,3.44,0,0,4.59,0.57,0,0,1.72,0,6.31,0.57,0,0,238.13,0,0.57,0,0.57,0,0,0,33.85,0,0,127.96,0,0.57
 60-70,0,0.98,0.98,35.33,0,0,4.91,0,0,7.85,0,0.98,0,0,0.98,10.8,0,0.98,0.98,661.55,0.98,1.96,0,0.98,0,0,0,50.06,0,0,107.97,0,0.98
 72-82,0,0.98,6.87,107,0.98,0,18.65,0.98,0,4.91,0,0,0.98,0.98,0,14.72,1.96,0,0.98,681.27,0,1.96,0,0,0,0,0,52.03,0,0.98,244.43,0,0.98
 84-94,0,4.25,6.37,96.65,0,1.06,10.62,0,1.06,3.19,2.12,0,0,1.06,0,4.25,0,1.06,2.12,397.2,0,2.12,0,1.06,0,0,0,21.24,0,1.06,198.6,0,0
 96-106,0,3.28,6.56,97.26,2.19,2.19,13.11,2.19,0,13.11,1.09,0,1.09,5.46,1.09,9.84,0,1.09,3.28,383.59,1.09,1.09,0,0,2.19,0,0,14.21,1.09,0,244.8,2.19,1.09
108-118,0.77,5.36,7.66,96.51,0,0.77,15.32,1.53,0,4.6,2.3,0,0,4.6,2.3,9.96,0,1.53,1.53,448.85,0.77,0.77,0,0.77,2.3,0,0,9.96,0,0,188.43,0,0.77
120,0,5.88,9.8,99.95,3.92,1.96,23.52,1.96,0,1.96,1.96,0,0,5.88,3.92,5.88,0,1.96,0,587.94,0,0,0,3.92,0,1.96,0,15.68,0,0,168.54,0,0
