stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,5.26,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,7.25,0.81,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,0,0,0,0,0,0.57,0,1.15,0,0,5.16,0,0,1.15,0.57,0,0
 60-70,0,0,0.98,0.98,12.76,0,0,0.98,0,0,0.98,0,0.98,1.96,0.98,0,9.82,0,0,2.94,1.96,0,0
 72-82,0,0,0.98,0.98,5.89,0.98,0.98,0.98,0,0,0,0.98,0.98,2.94,0,0,4.91,0,0,0.98,0,0,0.98
 84-94,0,0,2.12,3.19,3.19,0,0,0,0,0,1.06,0,1.06,0,0,2.12,6.37,1.06,0,3.19,0,0,0
 96-106,0,0,1.09,0,3.28,1.09,0,1.09,1.09,0,0,0,0,5.46,0,1.09,1.09,0,0,3.28,0,1.09,1.09
108-118,0,0,0.77,1.53,2.3,1.53,0,0.77,0,0,0,0,0.77,2.3,0,0.77,3.83,0.77,0,2.3,0,0,0.77
120,0,0,3.92,3.92,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0
