stage,blastomeres,endoderm,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,slow.muscle,somites,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,57,21,0
 24-34,0,0,0,0.82,1.64,0,0,0.82,0,1.64,2.46,9.85,0.82,0,0,0,0,0,2.46,7.39,23.8,0
 36-46,0,0,0,0,4.83,0,0,0,0,0.81,1.61,6.45,0,0,0,0,0,0,0.81,0,5.64,0
 48-58,0,0,0,0.57,3.44,0,0,0,0,0.57,3.44,8.03,0,0,0,0,0,0,0,0,2.87,0.57
 60-70,0,0,0,0.98,1.96,0,0,0,0,0.98,1.96,7.85,0,0,0,0,0,0,0,0,2.94,1.96
 72-82,0,0,0,3.93,0.98,0.98,0,0,0.98,0.98,1.96,8.83,0,0,0,0,0,0,0,0,0.98,2.94
 84-94,0,0,2.12,2.12,1.06,0,0,0,5.31,2.12,2.12,1.06,0,1.06,0,0,0,0,0,0,0,3.19
 96-106,0,0,1.09,4.37,2.19,0,1.09,0,2.19,5.46,6.56,5.46,0,1.09,0,0,0,1.09,1.09,0,0,4.37
108-118,0,0.77,0.77,1.53,2.3,0,0,0,14.55,3.06,4.6,6.89,0,0.77,0,0.77,0.77,0,1.53,0,0.77,3.06
120,0,0,0,1.96,5.88,0,1.96,0,9.8,0,1.96,1.96,0,1.96,0,0,0,0,0,0,0,1.96
