stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,11,4,18,0,0,31,0,0,0,0,0,0,14,0,8,1012,0,0,0,2,0,11,0,0,46,310,0,3
 24-34,30.37,4.1,22.98,0.82,5.75,42.68,0,0.82,0,0.82,1.64,1.64,54.18,0.82,17.24,1828.05,0.82,1.64,0.82,0,0.82,0.82,0,1.64,41.86,703.47,0,6.57
 36-46,12.89,0,20.14,0,4.83,18.53,0,2.42,0,0,0,0,47.53,4.83,10.47,419.75,0,0,1.61,0,0.81,0,0.81,2.42,0,388.33,0,3.22
 48-58,2.3,0,3.44,0,5.16,5.16,0,0.57,0,0,0,0,27.54,2.87,4.02,31.56,0,0,0,0,0,0,0,0,0,59.68,0.57,0
 60-70,1.96,0,2.94,0,1.96,0,0.98,0,0,0,0,0,10.8,0,0.98,4.91,0,0,0,0,0,0,0,0.98,0,3.93,0,0
 72-82,0,0,0.98,0,2.94,2.94,0,0,0,0,0,0,5.89,0,1.96,0.98,0,0,0,0,0,0,0,0,0,0.98,0.98,0
 84-94,1.06,0,2.12,0,3.19,0,0,0,1.06,0,0,0,2.12,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,2.3,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
