stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,2,0,0,0,0,0,0,0,0,9,0,1,0,0,4,0,21,0,0,8,6,5,0,0,0,0,28,0,3,9,0,0,0,0,0
 24-34,0,0,0,0,3.28,0.82,0,1.64,0,0,0,0.82,0,0,6.57,1.64,11.49,0,0,0.82,0,4.93,0.82,0.82,4.93,11.49,1.64,0.82,0,0,0,81.26,2.46,0,16.42,0,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,0,0.81,0,0.81,0.81,2.42,0,0,9.67,7.25,4.03,0,0,0.81,0,37.06,0,1.61,12.89,10.47,0.81,0,0.81,0,0,60.43,0,0,13.7,0,0.81,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,2.87,0,0.57,0.57,4.59,0,0,5.16,4.02,2.3,0,0,0,1.72,140.01,0.57,2.3,13.77,19.51,0.57,0,0,0,2.87,41.31,1.15,0,26.97,0,0.57,0,0,3.44
 60-70,0,0,0,0,6.87,0.98,0,0.98,0,0.98,0,0.98,0.98,0,6.87,9.82,0.98,0,0,0.98,0.98,289.55,0,7.85,25.52,19.63,2.94,0,0,0,7.85,49.08,0.98,0,13.74,0,3.93,0.98,1.96,2.94
 72-82,0,0,0,0,11.78,0.98,0,32.39,0,0.98,2.94,8.83,0,0,10.8,16.69,13.74,0,0.98,3.93,7.85,574.27,0.98,19.63,70.68,48.1,0.98,0,0,0,10.8,46.14,3.93,0,19.63,1.96,9.82,4.91,10.8,3.93
 84-94,0,0,0,0,19.12,2.12,2.12,28.68,0,0,2.12,7.43,2.12,0,10.62,18.05,19.12,1.06,1.06,6.37,13.81,347.29,1.06,24.43,46.73,13.81,5.31,0,0,0,8.5,91.34,12.74,0,11.68,1.06,11.68,3.19,2.12,5.31
 96-106,0,0,2.19,0,19.67,1.09,2.19,29.51,0,4.37,9.84,13.11,3.28,0,19.67,26.23,31.69,0,0,120.21,13.11,513.64,1.09,36.06,48.09,60.11,4.37,2.19,1.09,0,13.11,104.91,9.84,0,19.67,3.28,16.39,12.02,17.49,16.39
108-118,0,0,1.53,0,27.57,0,8.43,11.49,0,1.53,6.13,8.43,0.77,0,9.96,26.81,18.38,1.53,0,241.28,16.85,487.92,1.53,31.4,32.94,51.32,6.13,0,0.77,0,10.72,72.77,7.66,0,13.02,3.83,6.89,3.06,6.89,33.7
120,0,0,0,1.96,19.6,1.96,7.84,11.76,1.96,0,3.92,5.88,3.92,0,7.84,33.32,19.6,0,1.96,160.7,11.76,346.88,1.96,17.64,25.48,35.28,5.88,0,1.96,0,9.8,88.19,9.8,0,11.76,5.88,5.88,9.8,3.92,11.76
