stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,39,61,11,0,0,0,0,1,13,0,0,0,0,4,0,21,0,0,18,26,2,0,0,2,1,0,5,5,1,20,44,0,0,0,0
 24-34,1.64,10.67,12.31,1.64,0,9.03,0,0,0,6.57,0.82,0.82,0,0,5.75,0,24.63,0,0,6.57,75.52,0,0.82,1.64,0,1.64,0,0,0,0,0.82,18.88,0,3.28,0,0
 36-46,0.81,0.81,0.81,0,0,10.47,0,0,3.22,0,0.81,0,0,0,1.61,0,10.47,0,0,0,56.4,0.81,0.81,0,0,4.03,0,0,0.81,0,0,8.86,0,0.81,0,0
 48-58,0,0,1.72,0,0,17.21,0,1.15,2.3,1.15,0,0,0.57,0,0,0.57,5.74,0,0.57,1.15,53.36,0,0,0,0,2.3,0,0,0,0,0,18.36,0,0,0,0
 60-70,0,0,0.98,0,0,12.76,0.98,0,3.93,0,0.98,0,0,0,0.98,0.98,10.8,0,0,0,27.48,0,0,0,0,3.93,0,0,0,0,0,1.96,0,0,0.98,0
 72-82,0,0,2.94,0.98,0,19.63,0,0,2.94,0.98,0,0,0,0.98,0,0,8.83,0,0,0.98,47.12,0,0,0.98,0,1.96,0,0,0,0,0,4.91,0,0.98,0,0.98
 84-94,0,0,3.19,0,0,6.37,2.12,0,5.31,2.12,1.06,0,1.06,0,0,0,6.37,0,0,0,21.24,0,0,1.06,0,13.81,1.06,0,0,0,0,1.06,0,1.06,1.06,0
 96-106,0,0,16.39,0,0,4.37,0,0,6.56,4.37,0,0,0,0,0,0,13.11,1.09,0,0,20.76,0,1.09,3.28,0,12.02,0,0,0,0,0,1.09,1.09,0,1.09,0
108-118,0,0,10.72,0,0.77,7.66,1.53,0,0,4.6,0,0,0.77,0,0,0,5.36,0.77,0,0.77,19.92,0,0.77,0,0,3.06,0,0,0,0,0,2.3,0.77,0,0.77,0
120,0,0,35.28,1.96,0,11.76,3.92,0,3.92,13.72,0,1.96,0,0,1.96,0,3.92,0,0,1.96,31.36,0,0,0,0,15.68,0,0,0,0,0,0,0,0,0,0
