stage,axial,blastomeres,erythrocytes,eye,fin.epithelia,glial,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,taste,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,6.57,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,4.03,0,0,0,0.81,0,0
 48-58,0,0,0,2.87,0.57,0.57,0.57,0,3.44,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,1.96,0,2.94,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,0.98,0,0,5.89,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,2.12,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
