stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,70,2,0,0,0,0,0,34,0,0,0,0,0,0,6,0,0,5,15,0,0,1,1,0,0,1,40,3,3,0,0,0,0,0
 24-34,0,0,0,3.28,2.46,0,0,0,0,0,0,20.52,0,0,1.64,0,0,0.82,12.31,0,0,0.82,28.73,0,0,0,0,0,0.82,0,22.98,1.64,7.39,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,3.22,0,0,1.61,10.47,0,0,0,0,0,0,45.92,0,0,0,23.36,0.81,0,0,0,0,0,0,12.09,0,9.67,0,0,0.81,0,0
 48-58,0.57,0,0,0,0,1.15,0,58.53,1.15,0,2.87,1.72,0,0,0,0,0,1.15,102.71,0,0,0.57,29.26,0,0,0,0,0.57,0,0,8.61,0,9.75,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,161.95,0.98,0.98,4.91,8.83,0,0,0,0,0,0.98,166.86,0.98,1.96,0,40.24,0,0,0,0,0,0,0,11.78,0,13.74,0,0,0,0,0.98
 72-82,0,0,4.91,0,3.93,0.98,0.98,163.94,0.98,0,6.87,36.32,0,0.98,0,0,0.98,0,275.85,0,0,0,71.66,0,0,0.98,0,0,1.96,0,19.63,0,4.91,0,2.94,0,0.98,0
 84-94,0,0,8.5,0,7.43,1.06,0,134.88,0,1.06,9.56,71.16,1.06,1.06,1.06,1.06,0,2.12,154,0,1.06,0,50.98,0,0,3.19,0,0,1.06,0,35.05,0,5.31,1.06,2.12,1.06,0,0
 96-106,0,0,7.65,0,12.02,1.09,1.09,84.15,1.09,1.09,4.37,86.33,0,0,1.09,0,0,2.19,202.18,0,0,0,39.34,0,1.09,3.28,0,0,3.28,0,45.9,0,6.56,0,1.09,2.19,1.09,2.19
108-118,0,0,3.83,0,6.89,1.53,0.77,72,0.77,0,3.83,96.51,0,0,0.77,0.77,0,0.77,127.15,0.77,0.77,0,47.49,0,0,4.6,0,0,1.53,0,28.34,0,0,0.77,0,0,0.77,0.77
120,0,0,0,0,7.84,0,0,80.35,0,0,3.92,70.55,0,0,0,0,1.96,0,129.35,0,0,0,33.32,0,0,1.96,0,0,3.92,0,23.52,0,1.96,0,0,0,0,0
