stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,12.59,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,7,37,2,2,1,0,0,4,0,0,1,0,4,33,0,0,1,0
 24-34,0,0,8.21,0.82,10.67,0,0.82,0,4.1,0,0,0,0.82,0,0,0,0.82,16.42,0,0,3.28,183.05,2.46,9.85,0.82,0,0,6.57,0,0.82,0.82,0,0,89.47,0,0,0.82,0
 36-46,0,0,4.83,0,10.47,0,0.81,0.81,5.64,0,0,1.61,2.42,0,0,0.81,0,16.11,0,0,2.42,309.38,2.42,4.03,0,0,0,6.45,0,0,0.81,0,0,120.04,0,0,1.61,0
 48-58,0,0,3.44,0,61.97,0.57,0,2.87,12.05,0.57,0,1.72,0.57,0.57,0,0,0.57,28.12,0,0,3.44,424.04,1.15,4.02,1.72,0,0,4.02,0,0,0,0.57,0,106.73,0,0,1.15,0
 60-70,0,0,7.85,0.98,92.26,0,0,0.98,9.82,2.94,0,0.98,1.96,0,0,0.98,0,26.5,0.98,0.98,5.89,414.2,0,8.83,1.96,0,0,4.91,0,0,0,0,0,77.54,0,0.98,0.98,0
 72-82,0,0,6.87,0,127.62,0.98,2.94,3.93,34.36,3.93,0,2.94,6.87,0,0.98,0,0,100.13,0.98,0,14.72,393.65,0.98,11.78,1.96,0,2.94,4.91,0,0,0,0,0,42.21,1.96,1.96,6.87,0.98
 84-94,0,0,2.12,0,58.41,0,2.12,3.19,14.87,2.12,0,0,6.37,0,0,1.06,0,28.68,0,0,5.31,130.63,0,3.19,3.19,0,0,9.56,0,0,1.06,0,0,11.68,0,3.19,0,1.06
 96-106,0,1.09,9.84,0,49.18,0,0,2.19,10.93,1.09,0,0,4.37,1.09,0,3.28,0,50.27,0,0,2.19,111.47,1.09,8.74,1.09,0,3.28,4.37,0,0,0,0,0,7.65,2.19,4.37,2.19,1.09
108-118,0,0,6.89,0.77,35.23,0.77,1.53,1.53,10.72,2.3,0,1.53,4.6,0,0,2.3,0.77,33.7,0.77,1.53,1.53,117.19,1.53,6.13,3.83,0,0.77,8.43,0,0,0,0,0,3.83,0.77,2.3,2.3,0.77
120,0,0,15.68,0,64.67,0,1.96,0,25.48,1.96,0,3.92,5.88,0,0,0,0,27.44,0,0,3.92,182.26,1.96,17.64,0,0,1.96,3.92,0,0,0,0,0,7.84,5.88,1.96,0,1.96
