stage,axial,blastomeres,endoderm,eye,gut,hatching_gland,immune,muscle,neural,paraxial_mesoderm,periderm,pgc,spinal_cord
  5-6,6.13,12.26,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,7.89,5.26,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,12.59,3.15,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,4
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,3.28
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0.81,0,5.64
 48-58,0,0,0,0.57,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,3.19,1.06,0,3.19,0,0,0,8.5,0,0
 96-106,0,0,0,1.09,0,0,5.46,0,2.19,0,3.28,0,0
108-118,0,0,0,1.53,0,0,3.06,0,0,0,1.53,0,0
