stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal.cord,taste,vasculature
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,40.22,0,0,0,0,0,17.24,0,0
 36-46,0,0.81,0,4.83,0,1.61,0,0,0,0,1.61,149.05,0,0.81,0,0,0,43.51,0,0
 48-58,0,0.57,0,9.75,0,0.57,0,0,0,1.72,0,256.49,0,0,0,0,0,41.89,0,0
 60-70,0.98,0,0,18.65,0,1.96,0,0,0,3.93,0,529.04,0,0,0,0,0,83.43,0,0
 72-82,0.98,1.96,0,39.27,0.98,3.93,0.98,0,0,3.93,0,562.49,0,0,0.98,0,0,43.19,0.98,0
 84-94,0,2.12,0,40.36,1.06,6.37,0,1.06,1.06,3.19,0,285.69,1.06,0,0,0,2.12,18.05,0,0
 96-106,1.09,1.09,1.09,25.14,0,5.46,0,0,0,6.56,0,213.11,0,0,0,1.09,0,9.84,0,1.09
108-118,0,3.06,0,24.51,0,3.83,0,0,0,1.53,0,269.62,0,0,0,0,0,6.89,0,0
120,1.96,0,0,29.4,0,1.96,1.96,0,0,1.96,0,258.69,0,0,0,0,0,9.8,0,0
