stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,81.82,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,2,4,495,0,0,0,0,0,4,0,17,30,49,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,3.28,0,0,0,0.82,0.82,0,0,0,0,0,0,0,13.95,0,0,11.49,40.22,288.12,0,0,0,0,0.82,0,0,1.64,1.64,44.33,0,0,2.46,0,0
 36-46,0.81,0,0,0,0,0,4.03,0,0,0,3.22,0.81,0,0,0,0,4.03,0,0,45.12,0,0,23.36,31.42,258.62,2.42,2.42,0,0,0.81,0,0,0.81,0,25.78,0,0,0,0,0
 48-58,0,0.57,0,2.3,0.57,0,24.1,0,0,1.72,5.74,0,0,0,0,0,4.59,1.15,0.57,184.77,0,1.15,25.82,32.13,176.73,1.15,7.46,0,0,0,0,0,0.57,0,14.35,0,0,7.46,0,0
 60-70,0.98,0,0,2.94,0.98,0,48.09,0,0,0.98,35.33,0.98,0,2.94,0,0,5.89,0.98,0,474.08,0,2.94,8.83,33.37,128.58,1.96,10.8,0,0.98,0,0,1.96,0,0,3.93,0,5.89,27.48,1.96,0
 72-82,0,0,0,6.87,0,0.98,92.28,0.98,0.98,6.87,68.72,0,0,3.93,1.96,0,8.83,0,1.96,967.92,0,5.89,21.6,71.66,98.17,1.96,18.65,0,0.98,1.96,0,0,0,0,7.85,0.98,9.82,110.93,8.83,0.98
 84-94,1.06,0,0,9.56,1.06,0,146.56,0,0,6.37,36.11,1.06,0,6.37,2.12,1.06,10.62,0,4.25,644.66,0,10.62,5.31,27.61,148.69,3.19,16.99,0,0,1.06,0,2.12,0,0,6.37,0,12.74,91.34,4.25,0
 96-106,2.19,1.09,0,19.67,2.19,1.09,115.84,2.19,2.19,5.46,50.27,3.28,0,9.84,5.46,0,15.3,0,4.37,724.56,0,9.84,12.02,74.31,96.17,6.56,39.34,0,3.28,6.56,0,3.28,0,0,5.46,0,28.41,155.18,13.11,2.19
108-118,0.77,1.53,0,6.89,0,0.77,101.87,0,0.77,4.6,47.49,3.06,0,3.06,3.06,1.53,9.19,0,4.6,690.9,0,12.26,7.66,53.62,105.7,4.6,39.83,0,1.53,1.53,0,3.83,0,0,3.06,0,14.55,127.92,7.66,0.77
120,0,0,0,11.76,0,0,58.79,0,1.96,0,56.83,5.88,1.96,5.88,0,0,3.92,0,1.96,513.46,1.96,5.88,7.84,47.03,117.59,0,25.48,0,0,0,0,3.92,0,0,1.96,0,19.6,113.67,9.8,0
