stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0
  5-6,30.65,747.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,2.63,0,0,0,26.29,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,228.7,10.51,0,0,102.52,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,16,2,0,19,0,0,2,0,2,0,0,0,0,0,0,12,0,3,136,3,0,2,2,0,3,16,0,1,18,59,2,0,0
 24-34,0,0,0,0.82,5.75,0,0,17.24,0,0,0,1.64,0,0,0,0,0,1.64,0,13.95,0,5.75,114.1,2.46,0.82,1.64,0,0.82,1.64,0,0.82,0,4.1,30.37,9.03,0,0.82
 36-46,0,0,0,1.61,2.42,0,0,12.09,0,3.22,3.22,0,0,0,0,0.81,1.61,0,0,14.5,0,4.03,137.77,1.61,0.81,1.61,0,0,5.64,0,0.81,0,0,21.75,1.61,0,0.81
 48-58,0,0,0.57,0,1.72,0,0,9.75,0,0.57,4.59,0,0,1.72,0,0,0,0,0.57,9.75,0.57,1.72,56.23,1.15,0.57,1.72,0,0,0,0,0,0,0,10.33,2.3,0,0
 60-70,0,0,0,0,2.94,0,0,13.74,0,0.98,11.78,0,0,0.98,0,0.98,0,0,0,16.69,0,0.98,72.63,0,0.98,0.98,0,0,1.96,0,0,0,0,12.76,1.96,0,0
 72-82,0,0,0,0,2.94,0.98,0,17.67,0.98,0,14.72,0,0,0.98,0,0,0,0,0,23.56,0,0,88.35,0,0,0,0,0.98,0.98,0,0,0,0,6.87,1.96,0,0
 84-94,0,0,1.06,0,2.12,1.06,0,10.62,1.06,0,7.43,2.12,0,0,0,0,2.12,0,0,13.81,3.19,0,43.54,1.06,0,0,0,0,6.37,0,0,0,0,5.31,3.19,0,0
 96-106,0,0,0,0,7.65,0,0,12.02,0,0,6.56,0,0,0,0,0,0,0,0,13.11,1.09,0,21.86,0,0,0,0,0,2.19,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,3.83,0,0.77,11.49,0.77,0,15.32,0,0,0,0,0.77,0,0.77,0,10.72,0.77,3.06,49.79,0,0.77,0.77,0,0,1.53,0,0,0.77,0,2.3,1.53,0.77,1.53
120,0,0,0,0,1.96,0,0,7.84,1.96,1.96,17.64,0,0,0,3.92,0,0,1.96,0,9.8,0,1.96,54.87,0,0,0,0,0,7.84,0,0,0,0,1.96,0,0,0
