stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,7.89,0,18.4,0,0,0,31.54,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,186.64,13.14,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,248.61,6.29,0,0,107,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,1,0,0,2,7,2,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,4,34,3,0,1,2,0,2,13,0,1,12,11,0,0,1,0,0
 24-34,0,0,0,0,2.46,0,0,11.49,0,0,0,0,0,0,0,0,1.64,0.82,0,0.82,1.64,9.03,0,3.28,63.21,0,0,0.82,0,0,3.28,0,0,0,1.64,10.67,0,0,1.64,0,0
 36-46,0,0,0,0,1.61,0.81,0,8.86,0,0.81,0,0,0,0,0.81,0,4.03,0,0.81,0,1.61,6.45,0,2.42,38.67,0.81,0,0.81,0,0,2.42,0,0.81,0,0,12.09,0,0,0.81,0,0.81
 48-58,0,0,0,0,0.57,0.57,0,10.9,0.57,0,0,4.59,0,0,0,0.57,0.57,0,0,0.57,1.15,8.61,0.57,1.15,26.97,0,1.15,0,0,0,2.87,0,0.57,0,0,6.31,0,0,0.57,0,2.3
 60-70,0,0,0,0,0.98,0,0,16.69,0,0,0,6.87,0.98,0,0,0.98,0.98,1.96,0.98,0,0.98,7.85,0,1.96,22.58,0,0,0,0,0,3.93,0,0,0.98,0,2.94,0,0,0,0,3.93
 72-82,0,0,0,0,3.93,1.96,0,5.89,0,0.98,0.98,8.83,0,0,0,2.94,0,0.98,0,0,0.98,18.65,0,2.94,20.61,0.98,1.96,0.98,0,0,1.96,0,0,0,0,2.94,0,0.98,0.98,0,1.96
 84-94,0,0,1.06,0,1.06,5.31,1.06,11.68,0,0,0,2.12,1.06,0,0,4.25,2.12,2.12,1.06,1.06,1.06,13.81,0,0,16.99,0,0,1.06,0,0,4.25,0,0,0,0,1.06,0,0,2.12,0,1.06
 96-106,0,0,0,0,1.09,0,0,6.56,0,0,1.09,5.46,3.28,0,1.09,2.19,1.09,0,2.19,2.19,0,10.93,0,1.09,12.02,1.09,0,2.19,0,0,7.65,0,0,0,0,0,1.09,0,1.09,2.19,2.19
108-118,0,0,0,0,7.66,2.3,0.77,6.89,1.53,0.77,0.77,3.06,0,0,0,0,6.13,3.06,0.77,1.53,0,9.96,0,2.3,9.19,1.53,0,0,0,0,7.66,0,1.53,0,0,0,0,0.77,0.77,0.77,2.3
120,0,0,0,0,25.48,0,0,11.76,0,1.96,0,0,0,0,0,3.92,1.96,5.88,0,1.96,1.96,0,1.96,3.92,17.64,0,0,0,0,1.96,11.76,0,0,0,0,0,0,1.96,5.88,0,0
