stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5,0,3,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,175,0,3,0,0,0,0,0,0,0,135,0,0,0,0,0
 24-34,0,5.75,1.64,2.46,0,0,14.78,0.82,0,0,0.82,0,0,0,0.82,2.46,0,0,0.82,0,2.46,0,0,2.46,893.09,0,21.34,5.75,0,1.64,0,0,0,0.82,364.46,0,0,0.82,0,0
 36-46,0,1.61,0,0.81,0,0,66.87,0,0,0,4.83,0.81,0,0,0,0,0,0,0,0,5.64,0,0,1.61,1964.22,0,14.5,2.42,0,2.42,0,0,0,0,475.34,0,0,0.81,0,0
 48-58,0,1.15,0,6.89,0.57,0,347.73,0,0.57,0.57,30.41,0.57,0,0,0,0.57,0.57,2.3,0,1.72,19.51,0,0,4.59,2603.93,1.72,16.64,4.59,0.57,4.59,0,0,0,0,532.49,0,0,0.57,0,2.87
 60-70,0,1.96,0,8.83,0,0,1151.33,1.96,0,1.96,42.21,0.98,0,0,1.96,0.98,0,4.91,0.98,0.98,24.54,0.98,0,3.93,3462.81,0.98,11.78,13.74,0,3.93,0,0.98,0,0,539.84,0,1.96,0,0,4.91
 72-82,0,7.85,0,29.45,9.82,0,1838.65,0.98,0.98,4.91,78.53,4.91,0,0,3.93,0,0.98,6.87,0,1.96,68.72,0,3.93,1.96,3248.32,0.98,22.58,33.38,0,3.93,0,0,0.98,0,296.46,0,0.98,3.93,2.94,1.96
 84-94,0,4.25,0,28.68,4.25,0,1237.27,2.12,1.06,4.25,82.84,3.19,1.06,1.06,2.12,2.12,1.06,2.12,2.12,0,50.98,0,1.06,2.12,1653.59,1.06,8.5,36.11,0,5.31,0,1.06,0,0,159.31,3.19,4.25,3.19,3.19,3.19
 96-106,0,4.37,0,17.49,8.74,0,1085.2,0,2.19,2.19,76.5,8.74,0,0,6.56,3.28,3.28,15.3,2.19,1.09,41.53,0,1.09,2.19,1364.97,1.09,20.76,50.27,0,21.86,1.09,1.09,0,0,69.94,2.19,1.09,7.65,2.19,6.56
108-118,0,3.06,0,17.62,3.83,0,761.37,0,1.53,2.3,42.89,5.36,0,0,5.36,2.3,0,13.02,0,0,36.77,0.77,1.53,3.06,1592.44,0.77,13.79,34.47,0,3.83,0,0.77,0,0,55.15,5.36,0,1.53,0,0.77
120,0,3.92,0,19.6,3.92,1.96,552.66,0,1.96,1.96,41.16,0,0,0,0,0,0,15.68,1.96,0,19.6,1.96,0,9.8,1528.63,1.96,11.76,31.36,0,7.84,0,0,0,0,48.99,0,1.96,3.92,0,0
