stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.64,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0,0,4.1,0,0,0,1.64,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,7.25,0,0,0,0,0.81,0,0,0,3.22,0,0,0,0,0
 48-58,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0.57,0,0,0,20.08,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,1.96,0,0,0,0.98,0.98,0,0,0,0,0,3.93,0,0.98,0,0,0,18.65,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0.98,1.96,16.69,6.87,0,0,0,2.94,1.96,0,0,0,0,0,94.24,0,1.96,0,0.98,0,19.63,0,0,0,0,1.96,0,0,0,0.98,0,0,0.98,0,0
 84-94,0,0,0,0,0,47.79,6.37,0,0,0,1.06,2.12,0,0,1.06,0,0,313.3,0,3.19,0,0,0,15.93,0,0,1.06,0,2.12,0,0,0,0,0,0,0,0,0
 96-106,0,9.84,0,14.21,15.3,165.02,51.36,1.09,2.19,2.19,14.21,166.11,2.19,8.74,5.46,2.19,1.09,749.69,0,46.99,2.19,5.46,5.46,167.21,1.09,4.37,4.37,3.28,20.76,1.09,3.28,1.09,3.28,2.19,0,8.74,3.28,2.19
108-118,0,6.13,0.77,9.96,3.83,410.56,42.89,0.77,3.06,3.83,11.49,332.43,0.77,5.36,0,2.3,0.77,1500.52,1.53,32.94,0,0.77,3.83,170.81,0.77,0,5.36,0,21.45,0,3.06,0,2.3,0.77,2.3,5.36,0,2.3
120,1.96,5.88,0,9.8,1.96,139.14,27.44,0,3.92,1.96,13.72,309.65,0,3.92,1.96,3.92,0,840.75,0,27.44,0,0,7.84,107.79,0,1.96,0,0,15.68,0,0,0,1.96,0,0,0,0,0
