stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,368.98,6325.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0,0,0,0,0
  5-6,361.65,3867.8,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,140.98,6.13,0,30.65,0,73.56,0,0,0,0,0,0,0,0,0
  7-9,47.32,21.03,0,55.2,0,0,0,118.29,0,0,0,0,60.46,0,0,0,0,0,0,0,1064.63,39.43,0,357.5,0,10.51,13.14,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,15.73,0,12.59,0,28.32,0,0,0,0,9.44,0,0,0,3.15,0,0,0,220.29,15.73,0,81.82,0,6.29,15.73,0,15.73,0,0,0,0,0,0
 14-21,0,0,0,4,146,10,0,1,0,0,0,3,0,5,0,3,2,49,0,19,24,1,0,1,0,11,6,1,1,1,2,6,0,0,0
 24-34,0,0,0.82,1.64,15.6,0,0,1.64,0,0,0,0.82,0,3.28,0,0,3.28,19.7,0,5.75,6.57,0,0.82,0,0,4.93,0.82,0,5.75,0,0,1.64,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0.81,0,0,0.81,10.47,0,1.61,1.61,0,0,0,0,0,0.81,0,4.83,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0.57,0,0,0.57,0,1.15,0.57,0,1.15,7.46,0,0,1.72,0,0,0,0,1.15,0,0,2.3,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0.98,4.91,0,0,1.96,0,0,0,0,0,0,0,5.89,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0.98,0,0.98,0,15.71,0,0,0,0,0.98,4.91,0.98,0.98,0.98,0,0,0,0,0,0,0,5.89,0,0,0,0,0.98,0
 84-94,0,0,1.06,2.12,0,0,6.37,1.06,0,1.06,0,12.74,0,0,2.12,0,1.06,3.19,0,0,0,0,0,0,1.06,0,0,0,12.74,0,0,0,0,0,0
 96-106,0,0,1.09,6.56,0,0,0,0,0,0,0,27.32,0,3.28,1.09,0,3.28,2.19,0,0,4.37,0,0,0,0,0,0,0,9.84,0,0,0,0,0,0
108-118,0,0,1.53,6.89,0,0,0.77,0,0,0,0.77,10.72,0,0,1.53,0,1.53,1.53,0,0,3.06,0,0.77,0,0,0,0,0,8.43,0,0,0,0,0,0.77
120,0,0,1.96,1.96,1.96,0,0,0,0,0,0,7.84,0,1.96,0,0,3.92,1.96,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
