stage,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,1,1,0,0,0,0,1,1,1,0,3,2,0,0,3,1,5,0,4,0,0
 24-34,0,0,1.64,0,0,0,0,0,0.82,2.46,0,0.82,1.64,0,0,0,0,0,0,0,0,0
 36-46,0.81,0,0.81,0,0,0,0,0,2.42,9.67,0.81,0,5.64,0,0,0,0,0,0.81,2.42,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.15,0.57,0.57,2.3,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0.98,4.91,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,1.09,0,1.09,0,0,2.19,0,0,0,3.28,0,0,1.09,0,1.09,0,0,0,0,0,1.09,0
108-118,0,0,0.77,0,0,0,0,0,0,1.53,0,0.77,0.77,0.77,0,0,1.53,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92
