stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,11,2,0,0,0,0,0,0,0,1,8,0,0,0,0,0,12,0,0,13,5,1,0,2,0,0,0,0,13,4,0,0,1,0,0
 24-34,0,0,3.28,0.82,0,0.82,0,0,0,0,0,0.82,15.6,0.82,0,0.82,0,0,43.51,0,2.46,28.73,8.21,5.75,0,0,1.64,0,0,0,0,0.82,0,0,2.46,0,0
 36-46,0,0,0.81,0,0,0,0.81,0,4.03,0,0,2.42,9.67,1.61,0,1.61,0,0,54.79,0,10.47,23.36,17.72,4.83,0,0.81,0,0.81,0,0,0,0.81,0,0.81,2.42,0,0
 48-58,0,0,14.35,1.72,0,6.31,1.72,7.46,32.71,3.44,2.3,14.35,75.74,3.44,0.57,4.59,0,0,285.75,0.57,46.48,106.73,51.07,20.66,0,1.72,4.59,2.3,0,0.57,0,10.9,0,2.3,22.95,1.15,1.72
 60-70,0.98,0,11.78,3.93,0,14.72,0.98,2.94,22.58,1.96,3.93,12.76,56.93,3.93,1.96,0.98,1.96,0,274.83,0.98,48.09,70.67,38.28,4.91,0,4.91,7.85,0,0,0,0,0,0,20.61,13.74,11.78,3.93
 72-82,0,0,6.87,11.78,0,24.54,0.98,2.94,33.38,3.93,6.87,15.71,93.26,4.91,0.98,1.96,0.98,0,290.57,0,45.16,71.66,49.08,1.96,0,8.83,12.76,1.96,0,0,0,0.98,0.98,19.63,22.58,48.1,0.98
 84-94,1.06,1.06,10.62,8.5,1.06,23.36,0,2.12,41.42,5.31,9.56,13.81,139.13,6.37,0,2.12,1.06,0,268.7,0,63.72,69.03,31.86,1.06,0,4.25,10.62,3.19,0,0,0,0,0,31.86,18.05,58.41,1.06
 96-106,1.09,1.09,32.79,21.86,4.37,55.74,2.19,5.46,64.48,24.04,30.6,45.9,296.16,14.21,0,10.93,4.37,0,629.48,0,85.24,112.56,125.68,8.74,0,13.11,46.99,2.19,1.09,3.28,0,0,2.19,36.06,86.33,91.8,1.09
108-118,0,0,15.32,3.06,1.53,15.32,1.53,1.53,54.38,6.89,14.55,11.49,159.32,10.72,0.77,3.06,4.6,1.53,419.75,0.77,43.66,87.32,80.43,6.13,2.3,6.13,39.06,0.77,0,1.53,0,1.53,1.53,19.92,26.81,49.79,2.3
120,0,0,29.4,19.6,0,37.24,5.88,3.92,70.55,7.84,39.2,37.24,346.88,9.8,0,7.84,3.92,0,644.77,0,82.31,164.62,99.95,17.64,0,13.72,68.59,3.92,0,0,0,3.92,5.88,17.64,52.91,80.35,0
