stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,34.17,0,0,7.89,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,129.03,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,1,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,2.46,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0,0,0,4.03,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.3,0.57,0.57,0,0,0,3.44,0,0.57,0,1.72,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0.98,7.85,1.96,0,0,0,0,0.98,0,0,0,9.82,4.91,1.96,0,0,0,0,0.98,0,0
 72-82,0,0,8.83,0,0,0.98,0,26.5,0,14.72,0,0.98,0,4.91,0,1.96,0,4.91,5.89,9.82,0,0,0.98,0,0,0.98,0.98
 84-94,0,0,3.19,0,0,0,1.06,20.18,0,26.55,0,1.06,0,18.05,2.12,0,0,2.12,13.81,13.81,0,0,1.06,0,0,0,0
 96-106,0,0,7.65,0,1.09,0,0,31.69,0,31.69,0,0,1.09,12.02,1.09,0,0,3.28,25.14,13.11,0,1.09,1.09,0,0,0,0
108-118,0,0,0.77,0,3.06,0.77,6.13,37.53,0.77,30.64,0,0.77,0.77,9.96,1.53,0.77,0.77,4.6,13.02,17.62,0,0.77,0.77,0,0,0,0
120,0,0,1.96,0,3.92,0,0,35.28,0,37.24,0,0,0,0,0,0,0,7.84,11.76,17.64,0,0,0,0,0,0,0
