stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0.82,73.06,0,0.82,0.82,0,0,37.76,0,0,0,0.82
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0.81,0,0.81,164.36,0,0,0,0,0,46.73,0,0,0,0
 48-58,0,0.57,0,0,22.95,0,0,0,2.3,0,0,0.57,0,0.57,5.16,0.57,0.57,274.28,0,0.57,0.57,1.72,0,53.36,0,0,0,0
 60-70,0,0,0.98,0,71.65,0,0,1.96,5.89,0.98,0,0,0,0,6.87,0,1.96,503.52,0,1.96,0.98,0.98,0,50.06,0,0.98,0,0
 72-82,0,3.93,0.98,0,141.36,0.98,0.98,0,14.72,1.96,0.98,0,0,0.98,9.82,0,0,559.55,0,2.94,0,1.96,0.98,46.14,0,0.98,1.96,0
 84-94,0,7.43,0,0,107.27,0,1.06,0,13.81,1.06,0,1.06,0,0,6.37,1.06,1.06,298.43,1.06,0,0,1.06,0,20.18,0,2.12,0,0
 96-106,0,6.56,0,0,102.73,1.09,0,0,13.11,1.09,0,1.09,1.09,2.19,4.37,0,0,260.1,0,4.37,1.09,5.46,0,9.84,0,0,2.19,1.09
108-118,0.77,1.53,0.77,0,78.89,0.77,0,0,11.49,0,0,0,0,0,8.43,0,0,282.64,0,0.77,0,1.53,0,13.02,0.77,0,0,0
120,0,11.76,1.96,1.96,80.35,0,0,0,13.72,0,0,0,0,1.96,9.8,0,0,478.19,0,0,0,1.96,0,13.72,0,0,0,0
