stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,liver,mesenchyme,muscle,neural,otic,periderm,presomitic.mesoderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,2
 24-34,0,0,0,4.1,0.82,0,0,0.82,0,0.82,0,16.42,0,0.82,0,4.1
 36-46,0,0,0,2.42,0,1.61,0,0,0,0,0.81,9.67,0,0,0,3.22
 48-58,0,0,0,1.15,0,0.57,0.57,0,0,0.57,0,5.16,0,0,0,0.57
 60-70,0,0,0.98,5.89,0,0.98,0,0,0,2.94,0,8.83,0,0.98,0,2.94
 72-82,0,0.98,0,4.91,0,0.98,0,0,0,0.98,0,6.87,0,0,0,1.96
 84-94,0,1.06,0,0,0,0,0,0,0,1.06,1.06,5.31,1.06,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,2.19,0,1.09,0,1.09,0,0
108-118,0,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,0,0
