stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,7.89,0,0,23.66,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,162.98,5.26,0,0,84.12,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,3.15,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,226.58,3.15,0,0,81.82,0,0,3.15,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,0,3,2,4,6,0,0,1,0,0,0,0,2,0,0,0,0,7,0,0,1,52,0,0,1,1,0,0,0,8,0,12,22,0,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,9.85,0,0,2.46,0,0,2.46,0,1.64,0.82,0,0,0,8.21,0,0,3.28,110.82,0,0,0,0,0,3.28,0,0,0,1.64,30.37,0,0,3.28,0.82
 36-46,0,0,0,0,0.81,0,23.36,0,0.81,4.03,0,0,0,0,0,0.81,1.61,0,0,9.67,0,0,3.22,145.83,0,3.22,0,0,0,0,0,0,0,0,34.64,0,0,2.42,0
 48-58,0,0,0,0,0.57,0,33.85,0,1.15,8.03,0,0,0.57,0,0,0.57,0,0,0.57,14.35,0,0,4.02,111.32,0,1.15,1.15,0,0,0.57,0,0,0,0,20.66,0,0,0.57,0
 60-70,0,0,0,0,0,0,45.15,0,0,4.91,0,0,0,0,0,0.98,0.98,0,0,14.72,0,0,0,118.76,0,0,0.98,0,0,3.93,0,0,0.98,0,15.7,0,0.98,0.98,0
 72-82,0,0,0,0,1.96,0.98,55.95,1.96,1.96,7.85,0.98,0,0,0,0,0,0,0.98,0,20.61,0.98,0,0.98,95.22,0.98,0,0,0,0,0.98,0,0,0,0,10.8,0,0,2.94,0.98
 84-94,0,0,0,0,1.06,1.06,31.86,0,0,4.25,3.19,0,0,1.06,2.12,0,1.06,0,1.06,19.12,0,1.06,2.12,53.1,0,1.06,0,0,1.06,9.56,0,0,1.06,0,3.19,0,0,1.06,0
 96-106,0,0,0,0,1.09,2.19,21.86,0,0,16.39,0,0,0,0,1.09,0,0,0,0,17.49,1.09,2.19,2.19,39.34,0,2.19,3.28,0,0,5.46,0,0,0,0,3.28,1.09,0,3.28,1.09
108-118,0,0,0,0,0,0.77,9.19,0.77,0.77,10.72,2.3,0,0.77,1.53,0.77,0.77,0.77,0,0,9.96,0.77,1.53,0,50.55,0,2.3,1.53,0,0.77,3.06,0,0,0,0,1.53,0.77,0.77,0.77,0.77
120,0,0,0,0,3.92,0,13.72,0,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0,1.96,1.96,47.03,0,0,0,0,0,5.88,0,0,0,0,3.92,0,0,3.92,0
