stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,39.53,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,39.43,5.26,0,0,18.4,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,2,0,0,0,0,0,0,2,0,20,0,0,0,1,0,2,0,10,0,0
 24-34,0,0,0.82,2.46,3.28,0,0,0.82,0,0,0.82,0,0,0.82,4.1,0.82,27.09,0,0,0,0,1.64,0,0,6.57,0,0
 36-46,0,0,0,3.22,6.45,0,0,4.03,0,0,0,0,0,0,3.22,0,16.92,0,0,0,0,0,0,0,6.45,0.81,0
 48-58,0,0,0,0.57,10.33,0,0.57,2.87,0.57,0,1.15,0,0,0,5.74,0.57,10.9,0,0.57,0,0,1.72,0,0,1.72,0,0
 60-70,0,0,0,0.98,9.82,0,0,2.94,0,0,1.96,0,0,0,4.91,1.96,32.39,0,0.98,0.98,0,1.96,0,0,1.96,0,0
 72-82,0,0,0,2.94,7.85,0,0,2.94,0.98,0,1.96,0,0,0,2.94,0.98,12.76,0,0,0,0,1.96,0,0,0,0,0
 84-94,0,0,0,5.31,8.5,0,1.06,0,0,0,3.19,0,0,0,5.31,1.06,7.43,0,0,0,0,2.12,0,0,3.19,1.06,0
 96-106,0,0,0,1.09,8.74,0,0,4.37,0,0,1.09,0,0,0,7.65,0,6.56,0,0,0,0,2.19,0,1.09,0,1.09,0
108-118,0,0,0,2.3,0.77,2.3,0,0.77,1.53,0,3.06,0,0,0,0.77,0.77,12.26,0,0,0,0,0,0,0,0,0.77,1.53
120,0,0,0,5.88,1.96,0,0,1.96,0,0,1.96,1.96,1.96,0,0,0,9.8,0,0,0,0,0,0,1.96,1.96,0,0
