stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,3,1,0,0,1,0,2,0,0,0,15,1,0,0,0,0,2,1,5,0,0
 24-34,0.82,2.46,0,0,0,0,3.28,0,0,0,9.03,0,0.82,0,0,0,0,0,9.85,0,0
 36-46,0,4.83,0,0,0,0,3.22,0,0,0.81,12.09,0,0,0,0,0,0,0,5.64,1.61,0
 48-58,0.57,3.44,0,0,0,0,2.3,0,0.57,0.57,14.35,0,0,0,0,0,0,0,2.3,0.57,0
 60-70,0,9.82,0.98,0,0.98,0,0.98,0,0,0,15.7,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,8.83,0,0.98,2.94,0,1.96,0.98,0.98,0,13.74,0,0,0.98,0,0,0,0,3.93,0.98,0.98
 84-94,1.06,2.12,0,0,0,0,7.43,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,3.28,1.09,2.19,0,0,1.09,6.56,0,2.19,1.09,0,0,0,0,0,0,0
108-118,0.77,1.53,0,0,1.53,0,2.3,0,0,0,9.96,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
