stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,184.49,2121.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,1440.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,15.77,0,13.14,0,0,0,36.8,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,333.85,10.51,0,0,102.52,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,6.29,0,28.32,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,390.22,15.73,0,0,132.17,0,6.29,3.15,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,1,0,17,262,109,0,89,0,0,0,23,14,0,2,4,28,0,0,0,1,85,0,0,41,766,16,5,22,29,0,62,6,78,18,72,291,0,0,21,0,2
 24-34,0.82,0,5.75,9.85,113.28,14.78,0,210.14,0,14.78,4.1,51.71,3.28,0,8.21,6.57,72.24,1.64,13.13,1.64,0.82,156.78,9.03,0.82,71.41,1411.87,19.7,29.55,27.09,0,1.64,164.99,0,1.64,6.57,32.83,342.3,0,0,64.03,0,6.57
 36-46,0,0,0.81,0.81,56.4,0.81,0,260.23,0,6.45,12.09,78.15,5.64,0,4.83,14.5,20.95,2.42,7.25,0.81,0.81,149.85,8.06,5.64,52.37,875.76,13.7,37.87,13.7,0,0.81,107.15,1.61,0,1.61,0,302.13,0,0,41.89,0,2.42
 48-58,0,0,1.15,0.57,26.4,0.57,0,251.9,0,8.03,9.75,120.5,0,4.59,2.87,13.77,8.61,0,4.59,0.57,1.72,180.75,6.31,6.89,26.4,320.76,3.44,17.21,9.75,0,0,61.4,0,0,1.72,0,199.11,0,0.57,22.95,0,5.16
 60-70,0.98,0,1.96,0,50.06,2.94,0,184.53,0,16.69,13.74,142.32,7.85,2.94,1.96,29.45,11.78,6.87,12.76,1.96,0.98,253.23,11.78,14.72,22.58,194.34,2.94,27.48,21.59,0,0.98,51.04,0,0,0.98,0,65.76,3.93,7.85,32.39,1.96,5.89
 72-82,0,0,9.82,0.98,51.05,7.85,0,143.32,0,9.82,13.74,123.69,26.5,1.96,6.87,39.27,28.47,4.91,17.67,2.94,0.98,294.5,18.65,19.63,33.38,135.47,3.93,35.34,24.54,0,2.94,74.61,0.98,0,2.94,0,21.6,10.8,6.87,47.12,9.82,1.96
 84-94,0,0,9.56,0,118.95,9.56,0,142.31,0,21.24,22.3,106.2,38.23,7.43,5.31,61.6,46.73,10.62,9.56,5.31,2.12,253.83,14.87,12.74,26.55,129.57,10.62,27.61,29.74,0,2.12,215.59,0,0,8.5,0,16.99,31.86,6.37,47.79,9.56,3.19
 96-106,0,0,7.65,0,102.73,10.93,0,136.61,0,20.76,12.02,84.15,31.69,0,3.28,96.17,55.74,15.3,22.95,1.09,1.09,182.51,20.76,14.21,21.86,98.36,3.28,42.62,29.51,0,4.37,186.88,1.09,0,2.19,0,9.84,29.51,3.28,40.44,13.11,4.37
108-118,0,0,5.36,3.83,93.45,6.13,4.6,103.41,1.53,20.68,16.09,72,31.4,0,0,61.28,39.06,9.19,11.49,8.43,1.53,165.45,13.02,9.96,13.02,121.02,6.89,27.57,20.68,0,3.83,111.06,0,0,6.13,0,6.13,26.04,4.6,40.6,5.36,6.13
120,0,0,3.92,0,76.43,9.8,1.96,99.95,0,17.64,13.72,60.75,23.52,0,1.96,74.47,23.52,5.88,15.68,11.76,0,96.03,0,9.8,27.44,70.55,3.92,11.76,7.84,0,0,94.07,0,0,0,0,7.84,13.72,1.96,29.4,3.92,0
