stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,8,2,0,0,0,0,85,0,7,2,0,0,7,0,0
 24-34,0,0,0,3.28,0,0,6.57,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,7.39,1.64,0,4.1,29.55,0,0.82,0,0,0,284.84,0.82,0.82,11.49,0,0,14.78,0,0
 36-46,0,0,0,0.81,0,0,4.83,0.81,2.42,0,0.81,0,0,0.81,0.81,0,0,0.81,0,8.06,2.42,0,2.42,38.67,0,0.81,0.81,0,0,284.4,0,0,9.67,0,0,4.83,0,0
 48-58,0.57,0,0,0,0,0,7.46,0,1.15,0,1.15,0,0,0,0,0,0.57,0,0,9.18,0,1.15,2.87,28.69,0,0,0.57,0,0,197.39,0,0,12.62,0,0,3.44,0,0
 60-70,0,0,0,1.96,0,0,28.46,0,1.96,0.98,5.89,0,0,0,0,1.96,0,0.98,0,16.69,0.98,0,0,47.11,0,0,0.98,0,0,184.53,0,0,7.85,0,1.96,4.91,0.98,0
 72-82,0,0,0.98,3.93,0,0,46.14,0,1.96,0,2.94,0,0,0,0,0,0,0,0,13.74,0.98,0.98,0.98,48.1,0,0.98,2.94,0,0,95.22,0,0,7.85,0.98,0,2.94,1.96,0
 84-94,0,0,0,5.31,1.06,0,45.67,0,0,0,2.12,0,0,0,2.12,2.12,0,2.12,2.12,5.31,4.25,0,2.12,27.61,0,0,0,0,1.06,583.06,1.06,0,6.37,0,1.06,3.19,3.19,0
 96-106,0,0,2.19,13.11,0,0,61.2,0,0,0,4.37,1.09,0,0,1.09,1.09,0,1.09,0,13.11,0,1.09,1.09,22.95,0,1.09,0,0,0,243.7,0,0,1.09,0,2.19,4.37,2.19,1.09
108-118,0,0,0,9.96,0.77,0,37.53,0,2.3,0.77,3.83,2.3,0,0,0,7.66,0,0.77,0.77,7.66,2.3,0,0.77,25.28,0,2.3,2.3,0,0,251.24,0.77,0,0,0,0,0.77,0.77,0
120,0,0,0,19.6,0,1.96,62.71,0,0,0,3.92,3.92,0,1.96,0,3.92,0,0,0,3.92,1.96,0,1.96,41.16,0,1.96,0,0,0,127.39,0,0,0,0,0,1.96,1.96,0
