stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,28.32,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,60,18,13,0,0,0,0,0,2,83,2,0,0,0,0,91,0,0,44,34,3,0,0,0,0,0,4,46,1,4,36,0,0,0,0
 24-34,0,0,0,31.19,3.28,0,0,0,0,0,0,0,43.51,0,0.82,0,0,0.82,105.07,0,0,22.16,28.73,0.82,0,0,0,0,1.64,0,36.94,0.82,1.64,27.91,0,0,2.46,0
 36-46,0,0,0,3.22,0.81,0,0,4.03,0,0,0.81,0,22.56,0,0,0,0.81,5.64,152.27,0,4.03,10.47,22.56,0,0.81,0,0,0,0,0,20.14,0,0.81,3.22,0,0.81,0.81,0
 48-58,0,0,0,0,1.72,0,0,6.89,4.02,0.57,2.87,1.72,7.46,0,0,0,0,0,191.65,0,2.3,15.49,17.79,0,0,0,0,0,1.15,0,13.77,0,0,3.44,0,0,4.59,0
 60-70,0,0,0,0,3.93,0,0,3.93,0.98,0,7.85,1.96,8.83,0,0,0,0,0.98,265.99,0,0.98,18.65,20.61,0,0,0,0,1.96,0,0,15.7,0,0,2.94,0,0.98,10.8,1.96
 72-82,0,0,2.94,0,2.94,0.98,0,28.47,0.98,0.98,8.83,6.87,52.03,0,0,0.98,0,0.98,400.52,0,2.94,20.61,42.21,0,0,0,0,0,3.93,0,23.56,0,0,1.96,0,2.94,18.65,6.87
 84-94,0,0,6.37,0,7.43,1.06,0,33.99,0,5.31,3.19,2.12,101.96,0,0,0,0,1.06,279.32,0,3.19,14.87,23.36,0,0,1.06,0,0,0,0,40.36,0,0,1.06,0,2.12,15.93,10.62
 96-106,0,0,4.37,0,13.11,3.28,1.09,33.88,0,1.09,2.19,6.56,193.43,0,0,3.28,0,1.09,269.93,0,2.19,14.21,50.27,0,0,1.09,0,2.19,4.37,0,42.62,0,0,0,1.09,0,28.41,8.74
108-118,0,0,3.06,0,4.6,0,0,15.32,0,2.3,8.43,3.06,274.98,0,0.77,0.77,0.77,0.77,275.75,0.77,0.77,26.04,36,0.77,1.53,1.53,0,0.77,1.53,0,36,0,0,0.77,0,0,16.09,10.72
120,0,0,1.96,0,9.8,0,1.96,13.72,0,0,0,0,188.14,1.96,0,1.96,0,1.96,229.29,1.96,0,11.76,39.2,0,0,0,0,0,0,0,27.44,0,0,1.96,0,1.96,25.48,3.92
