stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,27,2,0,0,0,0,1,1,0,9,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,12.31,0.82,0,0,2.46,0,0,0.82,0,5.75,0,0,0,0.82,0,6.57,0,0,0.82,2.46,0,0,0,0,0,0,0,0,0,0,7.39,0,0,3.28,0,0
 36-46,0,0,4.83,0.81,0,0,1.61,0.81,0,0,0,7.25,0,0,0,0,0,4.83,0,0,0,5.64,0,0,0,0,0,0.81,0,0,0,0,3.22,0,0,3.22,0,0
 48-58,0,0,1.15,0,0,1.15,0,0.57,0,0,0,18.36,0,0,0,0,0.57,4.02,0,0,0,2.87,0,0,0,0,0,0,0,0,0,0.57,0.57,0,0,4.02,0,0
 60-70,0,0,1.96,0,0,0.98,2.94,0,0,0,0.98,32.39,0,0,0,0.98,0.98,7.85,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,5.89,1.96,0
 72-82,0,0,2.94,2.94,0,5.89,0.98,0,0.98,2.94,0.98,82.46,0,0,0,0,0,13.74,0,3.93,1.96,6.87,0.98,0,0.98,0,0,0.98,0.98,0,0,0,0.98,0,2.94,13.74,9.82,0.98
 84-94,0,1.06,9.56,7.43,0,2.12,0,0,3.19,3.19,0,98.77,0,0,0,0,0,13.81,0,8.5,0,3.19,0,1.06,0,0,0,0,0,0,0,0,2.12,0,2.12,11.68,5.31,3.19
 96-106,0,0,16.39,18.58,1.09,6.56,0,0,6.56,12.02,3.28,135.51,2.19,0,0,3.28,0,26.23,0,4.37,6.56,12.02,1.09,1.09,0,0,2.19,12.02,0,0,0,0,3.28,1.09,4.37,24.04,12.02,3.28
108-118,0,0,11.49,5.36,0.77,2.3,5.36,0,3.83,16.85,0,124.85,3.06,1.53,0,3.83,0,19.15,0,3.06,1.53,9.96,0,0,0.77,0,1.53,9.19,0,0,0,0,2.3,0,0.77,27.57,13.02,4.6
120,0,0,15.68,7.84,0,1.96,7.84,1.96,0,7.84,3.92,176.38,7.84,1.96,1.96,5.88,0,25.48,3.92,1.96,5.88,17.64,0,0,3.92,0,1.96,76.43,0,0,0,0,5.88,0,5.88,37.24,11.76,0
