stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0.82,0,0,4.93,0,0.82,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,1.61,0,0.81,0.81,0.81,0.81
 48-58,0,0,0,0,3.44,0,0,0.57,1.15,0,0,4.02,0,0.57,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0.98,0,0,0
 72-82,0,0,0,0,0,0.98,0.98,0,0,0.98,0,0.98,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,1.06
 96-106,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,4.37,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
