stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,1133.3,17210.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632.54,0,0,0,0,0,0,0,0,0
  5-6,1281.09,13748.77,12.26,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,318.74,36.78,0,0,110.33,177.76,0,0,0,0,0,0,0,0,0
  7-9,131.44,205.04,354.88,0,0,0,657.18,0,0,0,0,184.01,0,0,0,0,0,0,0,0,0,0,5909.35,194.52,0,0,2421.04,18.4,49.95,0,0,0,0,0,0,0,0
 10-12,0,122.73,245.46,0,28.32,0,405.96,0,0,0,0,31.47,0,0,0,0,0,0,0,0,0,0,3169,25.18,0,0,1614.4,12.59,31.47,6.29,151.05,12.59,6.29,0,0,0,0
 14-21,1,0,7,81,26,0,37,0,0,12,2,0,0,0,2,0,0,1,40,0,0,51,638,12,4,9,40,13,1,86,9,52,211,0,0,1,0
 24-34,0,0.82,3.28,19.7,3.28,0,172.38,0,0,15.6,0.82,0,1.64,4.1,0.82,0,0,1.64,93.58,0.82,0.82,36.94,991.59,6.57,9.85,5.75,0,36.94,0,0,7.39,8.21,259.39,0,0,14.78,1.64
 36-46,0,0,0,12.89,1.61,0,347.24,0,0.81,24.17,0.81,0,0.81,1.61,0,1.61,0,3.22,75.73,0,2.42,24.17,668.71,1.61,3.22,3.22,0,16.92,0,0,1.61,0,175.64,0,0,7.25,0
 48-58,0,0,0,9.18,2.3,0,340.27,0.57,0.57,22.38,0,0,2.3,0.57,0,2.3,0.57,0,83.78,0.57,4.02,25.25,312.72,2.3,1.72,5.16,0,5.74,0,0,0,0,53.94,0,0,5.74,0
 60-70,0.98,0,0,15.7,1.96,0,227.71,0,0,25.52,2.94,0,0,2.94,0,0,1.96,0,50.06,0.98,3.93,6.87,159.99,0.98,0,0.98,0,3.93,0,0,2.94,0,11.78,0,0.98,1.96,0
 72-82,0,0,0,8.83,0.98,0,81.48,0.98,0,31.41,1.96,0,0,2.94,0.98,0,0,1.96,70.68,0,4.91,5.89,101.11,0.98,1.96,3.93,0,6.87,0,0,0,0,3.93,0,0.98,5.89,0
 84-94,0,0,0,11.68,1.06,0,83.9,1.06,0,21.24,7.43,0,1.06,8.5,1.06,2.12,0,2.12,54.16,0,7.43,16.99,89.21,1.06,3.19,4.25,0,8.5,0,0,3.19,0,0,0,0,4.25,1.06
 96-106,0,0,0,6.56,1.09,0,52.46,0,0,16.39,8.74,0,0,3.28,1.09,0,0,0,36.06,0,1.09,5.46,75.41,0,2.19,1.09,0,6.56,0,0,1.09,0,2.19,0,0,8.74,0
108-118,0,0,0,7.66,5.36,0.77,55.92,0,0.77,18.38,2.3,0,0,3.83,0.77,0.77,0,0.77,19.92,0,1.53,6.89,94.98,0.77,3.06,0.77,0,1.53,0,0,2.3,0,0.77,0.77,0,12.26,0
120,0,0,0,3.92,9.8,0,47.03,0,1.96,21.56,0,0,1.96,3.92,0,0,1.96,0,27.44,0,1.96,5.88,56.83,0,0,3.92,0,1.96,0,0,0,0,1.96,0,0,7.84,0
