stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,19,0,0,0,0,0,0,0,2,8,0,0,0,0,1
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0.82,3.28,15.6,0,0,0,0,0,0,0,0,4.93,0,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0,0,0.81,0,0.81,0,0,0,0,0,0,0,6.45,0,0,1.61,13.7,0,3.22,0,0,0,0,0,0,10.47,0,0,0,0,0
 48-58,0,0,0,3.44,0,0,0,0.57,0,1.15,0,0,0,0,0,0,0,4.02,0,0,0.57,15.49,0,0,0,0,0,0,0,0,5.74,0,0,0,0,0.57
 60-70,0.98,0,0.98,19.63,0,0.98,0,0.98,0,0,0,0,0,0.98,0.98,0,0,10.8,0.98,0,0.98,38.28,0,1.96,0,0,2.94,0,0,0,16.69,0,0,0.98,0,0.98
 72-82,0,0.98,20.61,43.19,0,0.98,0,8.83,0,0.98,0,0,0,0,0,0,0,32.39,0.98,0.98,0.98,79.51,0,0.98,0,0,0.98,0,0,0,24.54,0,1.96,0,0,0
 84-94,0,2.12,22.3,24.43,0,0,0,7.43,0,0,0,0,1.06,1.06,1.06,0,0,13.81,3.19,1.06,0,26.55,0,3.19,0,0,1.06,0,0,0,16.99,0,1.06,1.06,0,0
 96-106,0,3.28,38.25,65.57,0,2.19,0,17.49,2.19,0,0,0,1.09,1.09,5.46,2.19,0,42.62,1.09,2.19,4.37,63.39,0,4.37,2.19,0,8.74,1.09,0,0,16.39,5.46,2.19,0,0,0
108-118,1.53,10.72,29.11,75.83,0,6.89,1.53,30.64,1.53,0,0,1.53,2.3,0,2.3,0,5.36,65.11,3.06,2.3,3.06,65.11,1.53,4.6,5.36,1.53,10.72,0,2.3,0,9.19,11.49,3.83,0.77,0.77,2.3
120,0,29.4,43.12,117.59,1.96,9.8,3.92,47.03,5.88,0,1.96,1.96,3.92,3.92,5.88,1.96,0,90.15,3.92,3.92,9.8,156.78,1.96,9.8,15.68,1.96,29.4,1.96,3.92,0,21.56,3.92,1.96,7.84,3.92,1.96
