stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,21,5,0,13,0,0,0,3,0,0,0,0,0,0,0,8,11,0,0,10,149,0,0,3,2,0,3,1,13,1,0,16,53,0,0,2,0,1
 24-34,0,0,10.67,2.46,0,39.4,0,0,0.82,3.28,1.64,0.82,0,0,8.21,0,0.82,26.27,36.12,0.82,0,12.31,282.37,1.64,3.28,4.93,0,0,3.28,0,0,0,0.82,4.93,59.92,0,0,5.75,0,14.78
 36-46,0,0,2.42,0.81,0,24.17,0,0,1.61,3.22,0.81,0,1.61,0.81,3.22,0,0,4.83,22.56,0,0,4.83,165.16,0.81,0.81,1.61,0,0,1.61,0,0,0,0,0,41.89,0,0,3.22,0,1.61
 48-58,0,0,4.02,0,0,30.41,0.57,0,2.3,17.79,1.15,0,0.57,1.15,14.35,0,0.57,9.75,29.84,0,4.02,6.89,92.38,0.57,0.57,0.57,0,0,2.3,0,0,0,0,0,22.38,0,0,4.59,0.57,6.89
 60-70,0,0,4.91,0,0,26.5,0,0,0.98,16.69,1.96,0,0,0,4.91,0.98,0,0.98,30.43,0,0.98,4.91,45.15,0.98,0,0.98,0,0.98,2.94,0,0,1.96,0,0,5.89,0,0,2.94,0,0.98
 72-82,0.98,0,7.85,0.98,0,11.78,0,0,0.98,18.65,1.96,0.98,0,1.96,5.89,0,0,1.96,55.95,0,2.94,7.85,45.16,0.98,0,2.94,0,0,0.98,0,0,0,0,0,1.96,0,0.98,4.91,1.96,0
 84-94,0,0,3.19,1.06,1.06,13.81,0,0,0,15.93,4.25,0,1.06,2.12,10.62,0,0,4.25,37.17,0,3.19,4.25,37.17,0,0,6.37,0,1.06,6.37,0,0,0,0,0,3.19,0,1.06,6.37,1.06,1.06
 96-106,0,0,5.46,1.09,0,12.02,1.09,0,0,9.84,2.19,2.19,5.46,0,4.37,0,1.09,3.28,28.41,0,2.19,4.37,25.14,1.09,4.37,2.19,0,1.09,15.3,1.09,0,0,0,0,2.19,1.09,0,3.28,0,0
108-118,0,0.77,10.72,0.77,1.53,9.19,0,0.77,0.77,12.26,0.77,0,7.66,1.53,13.79,0.77,0.77,5.36,16.85,0,0,5.36,25.28,0.77,0.77,0.77,0,0.77,6.13,0,0,0.77,1.53,0,0.77,0,0,6.89,0,0.77
120,0,0,11.76,3.92,1.96,13.72,0,0,1.96,11.76,0,0,7.84,1.96,3.92,0,1.96,1.96,23.52,0,1.96,5.88,47.03,0,1.96,1.96,1.96,0,5.88,1.96,0,0,0,0,0,0,0,3.92,3.92,0
