stage,blastomeres,epidermis,eye,glial,gut,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,1,3,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0.82,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,2.42,0.81
 48-58,0,0,0.57,0.57,0,0,0.57,0,1.15,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0.98,0,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,0,0,1.09,0,3.28,0,1.09,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,1.53,0,1.53,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
