stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,711.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,18.4,0,7.89,0,0,39.43,0,0,0,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0,504.71,15.77,0,0,265.5,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,6.29,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,632.54,3.15,0,0,119.58,0,0,0,3.15,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,1,18,16,53,0,0,0,28,0,0,1,0,1,0,1,0,0,1,0,0,0,1519,1,27,12,1,2,0,9,1,8,38,823,0,0,4,0,0
 24-34,0,0,0.82,0,13.13,1.64,249.54,0,1.64,0,33.66,0,0.82,1.64,0,1.64,0.82,12.31,0.82,0,13.95,0,0,9.03,3103.66,2.46,32.01,22.16,0,6.57,0,0,1.64,0.82,4.93,960.4,0,0,4.1,0,0
 36-46,0,0,0,0,6.45,0.81,518.05,0.81,0,0,49.15,0,0,0,0,0.81,0,8.86,0,0,11.28,0.81,0.81,8.86,3441.82,1.61,13.7,8.86,0,5.64,0,0.81,0.81,0,0.81,1006.28,0,0,9.67,0,0.81
 48-58,0,0,0,0,6.89,0,546.26,0.57,0.57,1.72,105.01,1.15,0,1.15,0.57,1.72,0,6.31,0,1.15,22.38,0,0.57,7.46,2159.23,0.57,6.89,6.89,0,3.44,0.57,0,0,0,0,637.5,0,0,2.3,0,1.15
 60-70,0,0,0,0,8.83,0,440.7,0,0,0,100.12,0,1.96,0,2.94,0,0,10.8,0.98,0.98,14.72,1.96,0,0.98,1638.16,0,0.98,5.89,0,0.98,0,0,0,0,0,260.1,0,0,0.98,0,0
 72-82,0,0,0,0,9.82,2.94,287.63,0,0,0,109.95,0,0,0,3.93,0,0,15.71,0,0,25.52,0,0,1.96,1261.44,0,3.93,8.83,0,1.96,0,0,0,0,0,111.91,0.98,0,0,0.98,0.98
 84-94,0,0,0,0,10.62,2.12,211.35,0,1.06,0,74.34,2.12,0,0,3.19,0,1.06,7.43,0,0,19.12,0,1.06,2.12,646.78,0,4.25,10.62,0,4.25,0,0,0,0,0,73.28,1.06,0,0,0,0
 96-106,0,0,2.19,0,21.86,0,168.3,1.09,1.09,1.09,63.39,0,0,0,5.46,0,0,7.65,0,0,14.21,0,1.09,5.46,599.97,0,7.65,24.04,0,2.19,0,0,0,0,0,30.6,0,1.09,2.19,0,0
108-118,0,0,0,0,6.89,1.53,121.79,0,0.77,0,46.72,1.53,0,0.77,2.3,0,0,10.72,1.53,0,16.85,0,0.77,3.06,668.69,0,6.13,9.96,0,0.77,0,0,0,0,0,16.09,0,0,2.3,0,0
120,0,0,0,0,9.8,0,127.39,0,0,0,47.03,0,0,0,1.96,0,0,1.96,0,1.96,7.84,0,1.96,1.96,529.14,0,5.88,0,0,5.88,0,0,0,0,0,17.64,0,0,0,0,0
