stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,39.43,0,0,0,10.51,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,176.12,10.51,0,0,49.95,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,15.73,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,75.53,9.44,0,0,62.94,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,8,95,0,10,0,0,0,1,1,0,1,0,0,0,0,1,1,5,1,0,15,56,4,0,1,1,0,6,5,1,0,32,21,0,0,109,0,2
 24-34,0,0,1.64,3.28,22.16,0,16.42,0,0,1.64,0.82,0,0.82,2.46,0.82,0,0,0.82,0,0,17.24,0,0,11.49,112.46,10.67,0,0.82,0,0,12.31,0.82,4.93,0.82,6.57,30.37,0,0,457.22,0,0
 36-46,0,0,0,1.61,1.61,0,26.59,2.42,0,0,4.03,0,0,0,0,0.81,0.81,0.81,0,1.61,20.95,0,0,7.25,126.49,4.83,0.81,0,0,0,7.25,0,0.81,2.42,0,30.62,0,0,209.47,0,1.61
 48-58,0,0,0,1.15,1.72,0,16.07,1.15,0,0,4.02,0,0.57,0.57,0.57,0,0,0,1.15,1.15,8.61,0.57,0.57,3.44,40.74,2.87,0,1.15,0,0,1.15,0,0,0,0,6.31,0,0.57,122.79,0,0.57
 60-70,0,0,0,0.98,0,0,13.74,0.98,2.94,0,4.91,0,0,0,0.98,0,0,0.98,1.96,0,9.82,0,1.96,1.96,29.45,0.98,0,0.98,0,0,1.96,0,0,0.98,0,2.94,0,0,98.15,0.98,0.98
 72-82,0,0,0,2.94,3.93,0,30.43,0,0,0,9.82,0.98,0,0.98,0,0,0.98,0,0,0,33.38,0.98,0,2.94,35.34,0.98,0,4.91,0,0.98,1.96,0,0,1.96,0,3.93,0.98,0,109.95,0,0.98
 84-94,0,0,0,5.31,2.12,1.06,25.49,1.06,1.06,1.06,6.37,1.06,0,0,1.06,1.06,1.06,0,3.19,0,16.99,1.06,1.06,4.25,18.05,5.31,0,1.06,0,0,7.43,0,1.06,0,0,4.25,2.12,1.06,139.13,2.12,0
 96-106,0,0,0,5.46,4.37,0,13.11,1.09,0,2.19,7.65,2.19,0,0,5.46,1.09,0,0,0,1.09,12.02,2.19,0,3.28,24.04,4.37,0,7.65,0,0,6.56,0,0,0,0,3.28,0,0,140.98,1.09,1.09
108-118,0,0,0,6.89,3.83,0,17.62,0.77,1.53,0,7.66,4.6,0,0,6.89,0.77,1.53,0.77,3.83,0,25.28,0,0,5.36,41.36,2.3,0,4.6,0,0,7.66,0,1.53,0,0,1.53,0,0.77,120.26,0,0.77
120,0,0,0,1.96,3.92,0,7.84,0,1.96,0,7.84,0,1.96,0,3.92,1.96,0,1.96,0,0,13.72,0,0,0,15.68,5.88,0,0,0,0,3.92,0,0,0,0,0,0,0,113.67,0,0
