stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,1,0,7,0,0,0,0,1,0,1,9
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0.82,0,3.28,0,0.82,0,0,0,0.82,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,6.45,0.81,0.81,0,0.81,0,0,0,0.81
 48-58,0,0,0,0.57,0.57,0,0,0,0,0.57,0,0,7.46,0.57,0,0,0.57,0,0,0,1.15
 60-70,0,0,0,1.96,0.98,0,0.98,0,0,0,0,0.98,5.89,0,0,0,0.98,0,0,0,1.96
 72-82,0,0,0,1.96,5.89,0.98,0,0,0.98,0,0,0,6.87,0,0,0,0.98,0,0,0,3.93
 84-94,0,0,0,2.12,1.06,0,0,0,0,0,1.06,0,4.25,0,1.06,0,2.12,0,0,0,0
 96-106,0,1.09,0,1.09,1.09,0,0,1.09,0,0,0,0,6.56,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,0,0,0,0,0.77,0.77,3.83,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
