stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,taste,vasculature
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
 24-34,0,0,15.6,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0,0,3.28,0,0,0,0.82,0,0,0,0
 36-46,0,0,5.64,0,0,0,0,0,0,0.81,0,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0.81
 48-58,0,0,12.62,0,0.57,2.3,0.57,0,0,1.15,0.57,0,0,0,0.57,1.15,0,0,0,0,0,0,0,0
 60-70,0,0,16.69,0,0,5.89,0,0,0,1.96,0,0,0.98,0.98,0,2.94,0,0,0,0,0,0,0,0.98
 72-82,0,0,36.32,0,0.98,2.94,0,0,0.98,7.85,1.96,0,3.93,1.96,0.98,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,69.03,0,0,6.37,1.06,1.06,0,6.37,4.25,1.06,0,0,1.06,4.25,0,1.06,0,0,0,0,0,2.12
 96-106,0,0,59.01,0,2.19,9.84,0,1.09,1.09,9.84,7.65,0,0,3.28,1.09,2.19,2.19,0,0,1.09,0,0,1.09,3.28
108-118,0,0,80.43,0.77,3.06,14.55,0,3.06,0,17.62,2.3,0,0,1.53,0.77,3.83,0.77,0.77,0,0.77,0.77,0,1.53,2.3
120,0,0,82.31,0,0,11.76,1.96,1.96,0,19.6,3.92,0,0,5.88,1.96,3.92,0,0,0,1.96,0,0,0,0
