stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,44.06,15.73,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,2,1,0,0,0,0,1,6,0,9,0,0,0,0,2,2,0,4,25,14,2,1,0,0,1,4,0,3,19,0,0,0,0
 24-34,0,0,0.82,0,4.93,0.82,8.21,0,0,8.21,0.82,3.28,2.46,2.46,38.58,0,0,0.82,1.64,18.06,18.06,0,14.78,150.22,2.46,44.33,0,0,0,0,0,3.28,13.13,59.1,0,0,0,2.46
 36-46,0,0,0,0,2.42,0,16.92,0,0.81,17.72,1.61,4.03,0,8.86,4.83,0.81,0,0,0.81,42.7,10.47,0,21.75,344.02,1.61,58.01,0,0,0,1.61,0,0,0.81,82.98,0,0,0,4.03
 48-58,0,0,0,0,1.72,0,55.66,0,0,17.79,4.02,2.3,0,10.33,4.02,0,0,0,1.72,49.35,10.9,0,10.9,413.14,0,43.61,1.15,0,0,1.15,0,0.57,0,70.58,0,0.57,0,1.72
 60-70,0,0,0,0,3.93,0,168.82,1.96,1.96,22.58,8.83,0.98,0,16.69,5.89,3.93,0.98,0,0,68.71,9.82,0,4.91,861.78,0,42.21,1.96,0,0.98,1.96,0,0.98,0,77.54,0,0,0,0
 72-82,0,0,2.94,0,5.89,0.98,254.25,0,2.94,34.36,10.8,14.72,0.98,34.36,12.76,1.96,0.98,0.98,0,96.2,25.52,0,3.93,672.44,0,85.4,3.93,0,0,1.96,0,0.98,0,53.01,4.91,0.98,0.98,2.94
 84-94,0,0,1.06,0,12.74,1.06,139.13,0,0,23.36,12.74,24.43,0,59.47,16.99,4.25,0,0,1.06,52.04,20.18,1.06,1.06,351.53,0,77.53,2.12,0,0,1.06,0,1.06,0,26.55,5.31,0,3.19,0
 96-106,0,0,2.19,0,9.84,1.09,124.58,1.09,2.19,30.6,10.93,21.86,0,64.48,15.3,4.37,2.19,1.09,0,39.34,18.58,1.09,1.09,291.79,0,146.44,12.02,0,1.09,4.37,0,1.09,0,19.67,9.84,1.09,3.28,1.09
108-118,0,0,0.77,0,12.26,0.77,110.3,0,0.77,23.74,3.83,32.17,0,45.19,10.72,6.13,0.77,0.77,0.77,39.06,13.02,0.77,3.06,333.96,0,108.77,2.3,0,0,0.77,0,0,0,6.89,6.13,0.77,1.53,0
120,0,0,3.92,0,7.84,0,66.63,0,0,13.72,3.92,15.68,0,50.95,11.76,1.96,3.92,0,0,41.16,7.84,1.96,1.96,333.16,0,70.55,7.84,0,0,0,0,0,0,11.76,3.92,1.96,1.96,0
