stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,8,4,0,0,0,0,1,1,0,0,1,9,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,8.21,0,2.46,0,2.46,0,0,0,0.82,0.82,0,0,0,0.82,11.49,0,0,4.93,61.56,4.93,1.64,0,0,0,6.57,0,1.64,0,1.64,11.49,0,0,4.93,0,1.64
 36-46,0,0,0,0,5.64,0.81,0,14.5,2.42,0,0,1.61,0,0,0.81,0,0,0,0.81,0.81,0,3.22,0,0,4.83,78.15,0,2.42,0,0,0,10.47,0,0,0.81,0,12.09,0,0,6.45,0,0
 48-58,0,0,0,0,2.3,0.57,0,26.4,0,1.15,0,11.48,0.57,0.57,0,1.72,0.57,0.57,0.57,0,1.15,10.33,1.72,0,1.72,90.09,1.72,3.44,0,0,0,8.61,0,1.15,0,0,18.94,0,0.57,5.16,0.57,1.15
 60-70,0,0,0,0,0.98,0,0,53.98,0.98,0.98,1.96,11.78,1.96,0,0,2.94,0,0.98,0,0.98,0.98,24.54,0,0.98,2.94,112.88,0.98,0.98,0.98,0,0,12.76,0,4.91,0.98,0,16.69,0,0.98,3.93,0,2.94
 72-82,0,0,0.98,0,1.96,8.83,0,53.99,0.98,0.98,1.96,8.83,0,0,0.98,0.98,2.94,1.96,0.98,0.98,0,47.12,0.98,0,1.96,92.28,2.94,0,1.96,0,0,18.65,0,0.98,0,0,6.87,0,0,6.87,1.96,0.98
 84-94,0,0,1.06,1.06,8.5,5.31,0,40.36,1.06,1.06,1.06,11.68,5.31,0,0,10.62,3.19,1.06,1.06,2.12,4.25,24.43,1.06,2.12,8.5,56.29,1.06,1.06,3.19,0,0,50.98,0,4.25,0,0,4.25,1.06,2.12,5.31,1.06,2.12
 96-106,0,0,2.19,1.09,12.02,9.84,1.09,38.25,0,1.09,1.09,15.3,6.56,0,0,5.46,2.19,2.19,3.28,2.19,2.19,20.76,3.28,0,4.37,43.71,1.09,0,4.37,0,0,53.55,0,2.19,0,0,2.19,1.09,2.19,13.11,2.19,1.09
108-118,0,0,0.77,0,16.09,3.83,5.36,36,0.77,4.6,0,21.45,9.19,0,0.77,13.02,0.77,1.53,0,4.6,2.3,23.74,2.3,0.77,1.53,55.15,1.53,0.77,0.77,0,0.77,38.3,0,2.3,0.77,0,2.3,0.77,3.06,8.43,0,5.36
120,0,0,0,0,17.64,0,0,25.48,0,3.92,3.92,15.68,15.68,0,0,11.76,0,1.96,0,0,1.96,21.56,0,0,5.88,68.59,5.88,1.96,0,0,0,47.03,0,1.96,1.96,0,5.88,0,0,9.8,3.92,0
