stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,25.18,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,31.47,0,0,0,34.62,0,0,0,0,0,0,0,0
 14-21,0,0,1,39,299,0,8,0,0,14,0,1,6,0,0,10,1,0,0,0,0,2,196,2,0,4,4,0,0,2,5,1,3,71,0,0,129,0,0
 24-34,0,0,0,36.94,31.19,0,5.75,0,0,9.85,0,0,17.24,0,0.82,73.06,1.64,0,2.46,0.82,0,1.64,125.59,0,10.67,3.28,0,0,2.46,0,0,0,2.46,36.94,0,0,445.72,0,0
 36-46,0,0,0,8.06,5.64,0,5.64,0,0,5.64,0,0,8.86,0,0,62.04,0.81,0.81,2.42,0,0,0,90.23,0,4.83,8.86,0,0,0,0,0,0,0,33.84,0,0,277.15,0,0
 48-58,0,0,0,5.16,2.3,0,8.61,0,0,2.87,0,0,21.23,0,0.57,43.04,0.57,0,3.44,0,0,0.57,48.77,0,1.72,10.33,0,0,2.3,0,0,0,0,7.46,0,0,226.08,0,1.72
 60-70,0,0,0,3.93,1.96,0,6.87,0.98,0,2.94,0.98,0,17.67,1.96,0,52.02,0,0,1.96,0,0,1.96,26.5,0,1.96,5.89,0,0,0,0,0,0,0,3.93,0.98,0,211.03,0,0
 72-82,0,0,0,2.94,0.98,0,10.8,0.98,1.96,2.94,2.94,0,27.49,0.98,0.98,66.75,0,0,8.83,0.98,0.98,0,32.39,0,1.96,10.8,0,0,0,0,0,0,0,1.96,3.93,0.98,374.01,0,0.98
 84-94,0,0,0,5.31,0,0,7.43,0,0,3.19,4.25,0,19.12,1.06,0,88.15,0,0,6.37,0,0,1.06,13.81,0,2.12,18.05,0,0,0,0,0,0,0,2.12,7.43,1.06,339.85,1.06,0
 96-106,0,0,0,4.37,1.09,1.09,14.21,0,0,2.19,4.37,0,34.97,3.28,1.09,112.56,0,0,9.84,0,0,0,24.04,0,2.19,16.39,0,0,1.09,0,2.19,0,0,0,14.21,0,399.98,2.19,0
108-118,0.77,0,0.77,3.83,1.53,0.77,14.55,1.53,0.77,1.53,3.06,0,16.85,1.53,0.77,101.87,1.53,0,3.83,0,0.77,0.77,21.45,0,2.3,13.02,0,0.77,3.06,0,1.53,0,0,0.77,14.55,0.77,317.11,0.77,0
120,0,0,0,7.84,1.96,0,5.88,1.96,0,0,3.92,0,23.52,0,0,43.12,0,0,1.96,0,0,3.92,35.28,0,0,5.88,0,0,0,0,0,0,0,5.88,7.84,0,282.21,0,0
