stage,axial,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,6,1,1,0,0,0,0,0,0,0,0,69,0,0,64,8,0,0,1,0,0,4,0,36,12,0,0,0,0
 24-34,0,0,9.85,0.82,0,0,0.82,2.46,0,0,1.64,0,0,247.9,0,0.82,108.35,22.16,0.82,0,0,0,0,0,0,7.39,9.03,0.82,0,0,0
 36-46,0,0,9.67,0,0,0.81,0.81,16.11,0.81,0,0.81,0,0,359.33,0.81,1.61,58.01,12.09,0,0,0.81,0,0,0,0,0,0,1.61,0,0.81,0
 48-58,0,0.57,3.44,0,4.02,0,0,14.35,2.3,0,0,0,1.15,364.94,0,1.15,28.69,5.74,0,0,1.15,1.15,0,0,0,0,0,1.15,0.57,0,0
 60-70,0,0,3.93,0,1.96,0.98,0,12.76,9.82,0,0.98,0,0,482.91,0,0.98,40.24,9.82,0,0,0,0,0.98,0,0.98,0,0,0,5.89,0.98,1.96
 72-82,0,0,1.96,0,6.87,0,0,20.61,13.74,0,2.94,0,0,500.65,0,1.96,24.54,31.41,0,0,0,1.96,0,0,0,0,0,1.96,3.93,0.98,1.96
 84-94,1.06,0,3.19,0,21.24,0,0,22.3,9.56,0,2.12,1.06,0,377.02,0,2.12,19.12,23.36,0,0,2.12,2.12,0,0,0,0,0,0,3.19,0,1.06
 96-106,0,0,4.37,0,5.46,0,0,13.11,8.74,0,0,1.09,1.09,314.74,0,2.19,21.86,33.88,0,0,4.37,3.28,0,0,0,0,0,0,4.37,2.19,0
108-118,0,0,4.6,0,0.77,0,0.77,19.92,12.26,0.77,0,0,0,281.11,0,0.77,17.62,29.87,0.77,0,4.6,3.06,0,0,0,0,0,0,3.06,0,1.53
120,0,0,7.84,0,3.92,0,0,9.8,9.8,0,0,0,0,178.34,0,0,7.84,15.68,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0
