stage,endocrine_pancreas,endoderm,epidermis,eye,glial,gut,hatching_gland,mesenchyme,mural_cell,neural,notochord,olfactory,periderm,taste,vasculature,visceral_smooth_muscle
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,3.22,0,0,0.81,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,1.72,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,1.96
 72-82,0,0.98,2.94,0.98,0,0.98,0,0,0,6.87,0,0.98,0,0.98,0,2.94
 84-94,0,0,2.12,0,0,0,0,0,1.06,2.12,0,0,0,1.06,0,9.56
 96-106,0,0,1.09,1.09,0,0,0,2.19,1.09,3.28,0,0,1.09,2.19,0,4.37
108-118,1.53,0,0,0,0,0.77,0,0,0,1.53,1.53,0,0,1.53,0,3.06
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92
