stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,551.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,0,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,99.89,0,0,0,84.12,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.11,3.15,0,0,69.23,6.29,22.03,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,96,19,0,11,0,0,0,18,4,0,0,0,0,0,1,3,0,26,1,18,80,0,1,7,10,7,8,31,13,2,20,77,0,0,9,0,0
 24-34,0,0,0.82,0.82,11.49,1.64,0,14.78,0,4.93,0,12.31,0.82,0,1.64,1.64,0.82,0.82,1.64,1.64,0,22.16,0.82,7.39,101.79,0,9.03,4.93,0,12.31,1.64,0.82,3.28,0.82,0.82,81.26,0,0,13.95,0,0.82
 36-46,0,0,0,0,3.22,0,0,9.67,0,0,2.42,6.45,0,0,0,2.42,0,0,2.42,0.81,0,9.67,0,2.42,103.93,0,2.42,0.81,0,8.06,2.42,0,2.42,0,0,51.56,0,0,4.83,0,0
 48-58,0,0,0,0,3.44,3.44,0,20.08,0,1.72,0,8.03,0,0,0,2.87,0,0,0.57,0,0.57,8.61,1.15,4.59,83.2,0,0.57,3.44,0,2.87,0.57,0,0.57,0,0,33.28,0,0,3.44,0,1.15
 60-70,0,0,0.98,0,1.96,14.72,0,53,0,0.98,1.96,15.7,0,0,0,7.85,0,0,0.98,0.98,0,14.72,0,0,119.75,0.98,3.93,4.91,0,7.85,0.98,0,3.93,0.98,0,36.32,0,0,6.87,0,0
 72-82,0,0,3.93,0,0,14.72,0,64.79,0,0,0.98,17.67,0,0,0.98,5.89,0.98,0,0,0,0,25.52,0,2.94,127.62,0,0.98,2.94,0,0.98,0,0,0,0,0,16.69,0,0,10.8,0,0
 84-94,0,0,2.12,0,1.06,12.74,0,42.48,0,0,2.12,20.18,0,0,0,16.99,0,0,2.12,3.19,1.06,9.56,0,4.25,41.42,0,0,2.12,0,15.93,0,0,1.06,0,0,5.31,0,1.06,4.25,1.06,0
 96-106,0,0,3.28,0,7.65,22.95,0,32.79,2.19,1.09,2.19,19.67,1.09,0,0,10.93,1.09,0,0,3.28,0,17.49,2.19,3.28,44.81,1.09,2.19,4.37,0,3.28,0,0,3.28,0,0,6.56,0,0,12.02,0,0
108-118,0,0,0,0,3.83,15.32,0.77,16.09,0,0.77,2.3,12.26,0,0,0,6.89,0,0,2.3,3.06,0,14.55,0,2.3,60.51,0.77,3.83,1.53,0,7.66,0,0,0,1.53,0,3.83,0.77,0.77,9.19,0,0.77
120,0,0,0,0,1.96,13.72,0,9.8,0,0,0,5.88,3.92,0,0,11.76,1.96,0,0,5.88,0,13.72,0,5.88,39.2,0,0,5.88,0,7.84,0,0,3.92,0,0,3.92,0,0,3.92,0,0
