stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,2,0,0,0,1,2,0,0,1,0,0,0,1,10,30,0,0,9,70,1,0,1,4,0,0,9,1,1,17,0,0,1,0,0
 24-34,0,0,0,0.82,7.39,0.82,5.75,0,0.82,0,0,0,0,0.82,0.82,3.28,0.82,0.82,0,58.28,85.37,0,0,16.42,86.19,0,0,0.82,0,0.82,0,0,0,4.1,22.98,0,0,15.6,0,1.64
 36-46,0,0,0,0,2.42,0,4.03,0,0.81,1.61,7.25,0.81,0,1.61,1.61,0,0,0,0,61.23,68.48,0,1.61,9.67,61.23,0,0.81,1.61,0,0,0,0,0,0,34.64,0,0,4.83,0,2.42
 48-58,0,0,0,0,0,0,2.87,0,0,1.72,8.03,0,1.15,0,5.16,0,0,1.15,0,34.43,55.66,0,0.57,12.05,48.77,0,0,0.57,0,0,0,0,0,0,30.99,0,0.57,1.72,0.57,0.57
 60-70,0,0,0,0,0,0,31.41,0,0,0.98,38.28,0,0,0.98,6.87,0,0.98,0,0,15.7,91.28,0.98,0.98,8.83,97.17,0.98,0.98,2.94,0,0,0,0,0,0,49.08,0,0.98,0,0,0
 72-82,0,0,0,0,3.93,0.98,97.18,0.98,0,3.93,81.48,1.96,0,0,10.8,0,0.98,0.98,0,11.78,147.25,0,4.91,12.76,176.7,0,1.96,2.94,0,0.98,0.98,0,0,0,44.17,0.98,8.83,5.89,3.93,0.98
 84-94,0,0,0,0,8.5,1.06,83.9,0,1.06,4.25,60.54,0,2.12,5.31,25.49,0,4.25,1.06,1.06,24.43,98.77,0,7.43,15.93,97.71,0,0,3.19,0,1.06,1.06,0,1.06,0,16.99,1.06,11.68,0,3.19,0
 96-106,0,0,1.09,4.37,14.21,2.19,73.22,0,0,9.84,77.59,2.19,0,3.28,32.79,1.09,3.28,0,1.09,10.93,136.61,0,5.46,14.21,104.91,0,3.28,0,0,1.09,2.19,0,0,0,13.11,0,7.65,2.19,4.37,0
108-118,0.77,0,0,3.83,7.66,0.77,58.21,0,1.53,8.43,95.75,3.83,0,1.53,20.68,0,0.77,3.06,0.77,14.55,148.6,0.77,9.19,13.79,97.28,0.77,0,5.36,0,0.77,0,0,0,0,13.79,0.77,7.66,5.36,2.3,1.53
120,0,0,0,0,7.84,1.96,66.63,0,0,3.92,80.35,3.92,0,1.96,33.32,1.96,1.96,0,1.96,9.8,80.35,0,5.88,5.88,109.75,1.96,0,7.84,0,0,1.96,0,0,0,13.72,0,0,0,0,1.96
