stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,3,0,0,2,0,0,0,2,2,0,0,0,1,0,0,0,1,2,0,0,0,51,0,1,0,1,0,17,0,1,2,0,0,34,0,0,0,0
 24-34,0,0,2.46,1.64,0.82,0,0,12.31,0,0,0,1.64,0,0,0,0,4.93,0,0.82,0,0,1.64,0,0,1.64,171.56,0,6.57,0.82,0,0,68.95,0,0,0.82,0.82,0.82,69.77,0,0,0,0
 36-46,0,0,0,0,0,0,0,24.98,0,0.81,0,7.25,0,0,0.81,0,0,0,0,0,0,3.22,0.81,0,0.81,286.82,0,8.06,0.81,0,0,46.73,0,0,0,0,0,87.01,0,0,0,0
 48-58,0,0,1.15,0.57,1.15,0,0,65.41,1.15,1.15,0,13.77,0.57,0,0.57,0.57,0,0.57,0.57,0.57,0,4.02,1.15,0.57,1.72,278.87,0,7.46,0.57,0,0,23.53,0,0,0,0,0,69.43,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,0,216.92,0.98,1.96,0.98,37.3,0.98,0,0,0.98,0,0.98,0.98,0.98,0,7.85,0.98,0,0.98,490.76,0,6.87,1.96,0,0,31.41,0,0,0.98,0,0,91.28,0,0.98,0,0
 72-82,0,0,0.98,0,2.94,1.96,0,293.52,0,0,0.98,43.19,0.98,0,0.98,0.98,0.98,0,1.96,0,0,19.63,1.96,0,1.96,527.15,0,8.83,2.94,0,0,35.34,0,0,0,0,0,50.06,5.89,3.93,0.98,0.98
 84-94,0,0,1.06,0,11.68,1.06,1.06,211.35,0,1.06,1.06,25.49,2.12,0,0,0,3.19,1.06,1.06,1.06,0,11.68,1.06,1.06,2.12,268.7,0,4.25,3.19,0,0,84.96,0,0,2.12,0,0,28.68,2.12,1.06,0,0
 96-106,0,0,5.46,0,10.93,3.28,0,195.62,1.09,1.09,1.09,41.53,9.84,0,0,2.19,3.28,3.28,4.37,3.28,0,26.23,4.37,0,1.09,256.82,0,17.49,5.46,0,1.09,79.78,0,0,2.19,0,0,12.02,6.56,2.19,1.09,1.09
108-118,0,0,0.77,0,9.96,0,0.77,171.58,0,0.77,0,40.6,9.96,0,0,1.53,0,1.53,3.83,0,0.77,6.13,1.53,1.53,0.77,325.53,0,8.43,3.83,0,0,49.02,0,0,0.77,0.77,0,8.43,7.66,0.77,0,0
120,0,0,1.96,0,19.6,0,1.96,135.23,0,3.92,0,50.95,15.68,0,0,1.96,3.92,0,1.96,1.96,0,9.8,1.96,0,3.92,307.69,0,15.68,1.96,0,0,58.79,0,0,1.96,0,0,21.56,1.96,1.96,0,0
